AA-1221-MCO-ORD	12/02/2011 08:00 PM	12/02/2011 08:07 PM	15	12/02/2011 09:50 PM	12/02/2011 09:37 PM	H11B
AA-4307-ORD-DTW	12/02/2011 06:45 PM	12/02/2011 07:07 PM	G19A	12/02/2011 09:10 PM	12/02/2011 09:06 PM	D28
AA-616-DFW-DTW	12/02/2011 09:05 AM	12/02/2011 09:14 AM	C14	12/02/2011 12:35 PM	12/02/2011 12:19 PM	D32
AA-431-MIA-SFO	12/02/2011 08:35 AM	12/02/2011 08:52 AM	D40	12/02/2011 11:50 AM	12/02/2011 11:41 AM	56A
AA-3756-ORD-SLC	12/02/2011 12:15 PM	12/02/2011 12:29 PM	H3A	12/02/2011 02:45 PM	12/02/2011 02:41 PM	A3
AA-2050-ORD-MIA	12/02/2011 10:40 AM	12/02/2011 10:53 AM	H15	12/02/2011 02:45 PM	12/02/2011 02:26 PM	D1
AA-3804-PHL-ORD	12/02/2011 02:35 PM	12/02/2011 02:42 PM	A7	12/02/2011 04:05 PM	12/02/2011 03:46 PM	G1B
AA-1664-MIA-ATL	12/02/2011 10:15 AM	12/02/2011 10:39 AM	D36	12/02/2011 12:10 PM	12/02/2011 12:18 PM	T11
AA-789-ORD-DEN	12/02/2011 01:05 PM	12/02/2011 01:19 PM	K9	12/02/2011 02:35 PM	12/02/2011 02:50 PM	A49
AA-1733-ORD-PHX	12/02/2011 07:45 PM	12/02/2011 07:55 PM	H14	12/02/2011 10:30 PM		6
AA-1733-ORD-PHX	12/02/2011 07:45 PM	12/02/2011 07:55 PM	H14	12/02/2011 10:30 PM		6
AA-4277-CVG-JFK	12/02/2011 12:10 PM	12/02/2011 12:22 PM	1	12/02/2011 02:15 PM	12/02/2011 01:52 PM	31A
AA-2312-DFW-DTW	12/02/2011 08:25 PM		C27	12/02/2011 11:50 PM		D32
AA-85-JFK-SFO	12/02/2011 03:05 PM	12/02/2011 03:41 PM	5	12/02/2011 06:30 PM	12/02/2011 07:00 PM	58B
AA-404-MIA-MCO	12/02/2011 06:45 AM	12/02/2011 06:53 AM	E5	12/02/2011 07:45 AM	12/02/2011 07:35 AM	16
AA-446-DFW-PHL	12/02/2011 11:50 AM	12/02/2011 11:59 AM	D31	12/02/2011 03:50 PM	12/02/2011 03:40 PM	A9
AA-2268-PHX-ORD	12/02/2011 07:15 AM	12/02/2011 07:21 AM	6	12/02/2011 11:35 AM	12/02/2011 11:08 AM	H15
AA-4344-ORD-DTW	12/02/2011 11:45 AM	12/02/2011 11:53 AM	G1A	12/02/2011 02:00 PM	12/02/2011 01:51 PM	D28
AA-484-DFW-MIA	12/02/2011 04:15 PM	12/02/2011 04:59 PM	D23	12/02/2011 07:55 PM	12/02/2011 08:19 PM	D8
AA-3979-CVG-ORD	12/02/2011 07:30 AM	12/02/2011 07:57 AM	1	12/02/2011 08:00 AM	12/02/2011 07:56 AM	G12
AA-3063-SLC-LAX	12/02/2011 08:20 PM	12/02/2011 08:39 PM	A3	12/02/2011 09:20 PM		44H
AA-3859-IAH-ORD	12/02/2011 07:10 AM	12/02/2011 07:13 AM	A29	12/02/2011 09:40 AM	12/02/2011 09:37 AM	G7
AA-3842-MSP-ORD	12/02/2011 06:00 AM	12/02/2011 06:25 AM	E14	12/02/2011 07:30 AM	12/02/2011 07:44 AM	H5
AA-1544-SAN-ORD	12/02/2011 11:25 AM	12/02/2011 11:42 AM	27	12/02/2011 05:25 PM	12/02/2011 04:59 PM	H6
AA-649-ORD-SNA	12/02/2011 01:30 PM		H8	12/02/2011 03:50 PM		7
AA-1640-MIA-MCO	12/02/2011 06:30 PM		D33	12/02/2011 07:25 PM		14
AA-518-MIA-JFK	12/02/2011 06:30 AM	12/02/2011 06:54 AM	D3	12/02/2011 09:15 AM	12/02/2011 09:26 AM	5
AA-2525-DFW-MIA	12/02/2011 07:25 AM	12/02/2011 07:48 AM	D25	12/02/2011 11:10 AM	12/02/2011 11:13 AM	D21
AA-1279-DFW-PHX	12/02/2011 01:00 PM	12/02/2011 01:29 PM	C2	12/02/2011 02:35 PM	12/02/2011 02:51 PM	4
AA-1522-SFO-ORD	12/02/2011 11:55 PM		58B	12/03/2011 05:50 AM		H9
AA-1434-DFW-MCO	12/02/2011 07:15 AM	12/02/2011 07:37 AM	C36	12/02/2011 10:35 AM	12/02/2011 10:51 AM	14
AA-59-JFK-SFO	12/02/2011 07:10 AM	12/02/2011 07:47 AM	39	12/02/2011 10:45 AM	12/02/2011 10:33 AM	58B
AA-415-BOS-ORD	12/02/2011 08:35 AM	12/02/2011 08:45 AM	B31	12/02/2011 10:40 AM	12/02/2011 10:28 AM	K7
AA-222-LAX-BOS	12/02/2011 07:10 AM	12/02/2011 07:29 AM	48A	12/02/2011 03:30 PM	12/02/2011 03:16 PM	B33
AA-3823-LAX-DEN	12/02/2011 09:00 PM		44I	12/03/2011 12:15 AM		A49
AA-1165-JFK-MIA	12/02/2011 06:59 AM	12/02/2011 07:36 AM	40	12/02/2011 10:34 AM	12/02/2011 10:15 AM	D11
AA-3786-IAH-ORD	12/02/2011 04:00 PM	12/02/2011 04:17 PM	A29	12/02/2011 06:40 PM	12/02/2011 06:14 PM	G5
AA-4330-CVG-ORD	12/02/2011 03:35 PM	12/02/2011 04:48 PM	5	12/02/2011 04:00 PM	12/02/2011 04:41 PM	G14
AA-3468-CVG-MIA	12/02/2011 07:00 AM	12/02/2011 07:25 AM	5	12/02/2011 09:55 AM	12/02/2011 09:46 AM	D60
AA-204-LAX-MCO	12/02/2011 11:25 PM		43	12/03/2011 06:55 AM		14
AA-466-IAH-MIA	12/02/2011 06:00 AM	12/02/2011 06:15 AM	A27	12/02/2011 09:20 AM	12/02/2011 09:22 AM	D51
AA-3-JFK-LAX	12/02/2011 12:00 PM	12/02/2011 12:14 PM	12	12/02/2011 03:15 PM	12/02/2011 03:08 PM	47B
AA-1007-MIA-PHX	12/02/2011 04:55 PM	12/02/2011 05:28 PM	D44	12/02/2011 08:05 PM	12/02/2011 08:18 PM	6
AA-271-MIA-LAX	12/02/2011 11:35 AM	12/02/2011 11:52 AM	D51	12/02/2011 02:25 PM	12/02/2011 02:08 PM	49A
AA-643-MIA-ORD	12/02/2011 07:10 AM	12/02/2011 07:25 AM	D11	12/02/2011 09:35 AM	12/02/2011 09:23 AM	K13
AA-4198-ORD-CLE	12/02/2011 10:40 AM	12/02/2011 10:51 AM	G12	12/02/2011 12:55 PM	12/02/2011 12:47 PM	A1
AA-400-DFW-JFK	12/02/2011 10:40 AM	12/02/2011 11:01 AM	D16	12/02/2011 02:59 PM	12/02/2011 03:00 PM	44
AA-1886-BOS-MIA	12/02/2011 10:45 AM	12/02/2011 10:55 AM	B33	12/02/2011 02:20 PM	12/02/2011 01:55 PM	D50
AA-1917-JFK-MCO	12/02/2011 02:55 PM	12/02/2011 03:39 PM	1	12/02/2011 05:55 PM	12/02/2011 06:05 PM	16
AA-3809-PHX-LAX	12/02/2011 06:00 AM	12/02/2011 06:07 AM	2	12/02/2011 06:40 AM	12/02/2011 06:16 AM	44I
AA-2957-DFW-CVG	12/02/2011 07:55 AM	12/02/2011 08:07 AM	B16	12/02/2011 11:05 AM	12/02/2011 10:57 AM	3
UA-1500-IAH-GUA	Fri, Dec 2 8:55 AM	Fri, Dec 2 9:39 AM            Delayed	E10	Fri, Dec 2 11:45 AM	Fri, Dec 2 12:28 PM	15
UA-3515-IAD-MSP	Fri, Dec 2 8:15 AM	Fri, Dec 2 8:15 AM	D20	Fri, Dec 2 10:06 AM	Fri, Dec 2 10:08 AM	E6
UA-664-ORD-PHL	Fri, Dec 2 1:33 PM	Fri, Dec 2 1:35 PM	C25	Fri, Dec 2 4:31 PM	Fri, Dec 2 4:34 PM	D13
UA-414-LAX-SFO	Fri, Dec 2 6:00 AM	Fri, Dec 2 5:57 AM	75B	Fri, Dec 2 7:23 AM	Fri, Dec 2 7:12 AM	88
UA-257-JFK-SFO	Fri, Dec 2 2:30 PM	Fri, Dec 2 2:27 PM	9	Fri, Dec 2 6:15 PM	Fri, Dec 2 5:46 PM	92
UA-62-IAH-EWR	Fri, Dec 2 2:30 PM	Fri, Dec 2 2:50 PM	C-39	Fri, Dec 2 7:03 PM	Fri, Dec 2 7:08 PM	C83
UA-843-LAX-ORD	Fri, Dec 2 1:55 PM	Fri, Dec 2 1:54 PM	73	Fri, Dec 2 7:53 PM	Fri, Dec 2 7:22 PM	C23
UA-248-PHX-ORD	Fri, Dec 2 12:57 PM	Fri, Dec 2 12:57 PM            On Time	3	Fri, Dec 2 5:15 PM	Fri, Dec 2 5:02 PM	C17
UA-248-PHX-ORD	Fri, Dec 2 12:57 PM	Fri, Dec 2 1:08 PM            Delayed	3	Fri, Dec 2 5:15 PM	Fri, Dec 2 5:07 PM	C17
