key_id,attribute,assigned_val
0120121689,Author_list,zelkowitz@_marvin
0124383807,Author_list,laurini@_robert;_thompson@_derek
0131018604,Author_list,staugaard@_andrew
0201325640,Author_list,sykes@_david_a.;_mcgregor@_john_d.
0201773635,Author_list,earp@_richard
0321154932,Author_list,miller@_jim
0321213351,Author_list,kerievsky@_joshua
0321397967,Author_list,raheem@_michael
1555581994,Author_list,matthew_cheek
1558609091,Author_list,michael_sikora
9780073288512,Author_list,yacht@_carol
9780073528328,Author_list,de_palma@_paul
