key_id,attribute,assigned_val
0201442345,Author_list,beveridge@_jim/_wiener@_robert
0201695847,Author_list,marcus@_scott_j.
0201711613,Author_list,lau@_yun-tung
0201731142,Author_list,korienek@_gene;_wrensch@_tom;_dechow@_doug
0201770040,Author_list,maruyama@_hiroshi;_clark@_andy;_uramoto@_naohiko;_tamura@_kent;_murata@_makoto
0321193121,Author_list,lie@_hakon
0750699388,Author_list,shaw@_paul
1558604030,Author_list,weiss@_sholom_m.
9780072227765,Author_list,otey@_michael
9780072966213,Author_list,interactive@_triad
