key_id,attribute,assigned_val
0201634953,Author_list,stevens@_w.richard
0201758652,Author_list,henry@_joel
0321490290,Author_list,jendrock@_eric
0444888144,Author_list,by_(author)_brezinski@_c._by_(author)_redivo_zaglia@_m.
0750696524,Author_list,lenk@_john_d.
0750698217,Author_list,lenk@_john_d.
1555583385,Author_list,phd@_cism@_john_rittinghouse@_phd@_cism@_cissp@_james_f._ransome
1558604154,Author_list,philip_a._bernstein@_eric_newcomer
1558608613,Author_list,reinhard_klette@_azriel_rosenfeld
9780072500172,Author_list,kenneth_laudon
