key_id,attribute,assigned_val
0126567557,Author_list,spielman@_sue
0130257869,Author_list,watt@_david_a./_brown@_deryck_f.
0131427814,Author_list,ford@_annteorey@_tobybartlett@_sandytyson@_gary
0201183951,Author_list,langer@_angelika
0201423391,Author_list,koenig@_andrew
0201699478,Author_list,alistair_cockburn
0321160770,Author_list,chand@_mahesh
1555582761,Author_list,richard_holstein@_philip_e._bourne@_joseph_mcmullen
1555583075,Author_list,metzger@_robert_charles
9780072845501,Author_list,pearlman
