key_id,attribute,assigned_val
0122661702,Author_list,frants@_valery_j._(fordham_university@_new_york@_usa)
0124650309,Author_list,maguire@_carmel
0131483986,Author_list,harvey_m._deitel@_paul_j._deitel
0131492020,Author_list,savitch@_walter
0201357526,Author_list,andrews@_gregory_r.
0201704331,Author_list,ken_arnold@_james_gosling@_david_holmes
0201734958,Author_list,ted_pattison@_joe_hummel
0321159624,Author_list,tavares@_christopher
0321197860,Author_list,shneiderman@_ben;_plaisant@_catherine
0321268458,Author_list,kifer
1555583202,Author_list,kavanagh@_paul
1558606734,Author_list,david_w._corne@_peter_j._bentley
1558606882,Author_list,henry_lieberman
