aa	AA-1007-TPA-MIA	December 12, 2011               01:55 PM    	December 12, 2011               01:55 PM    	 F77	December 12, 2011               03:00 PM    	December 12, 2011               02:58 PM    	 D19    
flightexplorer	AA-1007-TPA-MIA		12/12/2011 2:07PM EST			12/12/2011 2:46PM EST	
airtravelcenter	AA-1007-TPA-MIA		12/12/11 2:07 PM (-05:00)			12/12/11 2:46 PM (-05:00)	
myrateplan	AA-1007-TPA-MIA		12/12/11 2:07 PM (-05:00)			12/12/11 2:46 PM (-05:00)	
helloflight	AA-1007-TPA-MIA		12/12/11 2:07 PM (-05:00)			12/12/11 2:46 PM (-05:00)	
flytecomm	AA-1007-TPA-MIA		12/12/11 2:07 PM (-05:00)			12/12/11 2:46 PM (-05:00)	
flights	AA-1007-TPA-MIA		2011-12-12 01:55 PM	F77		2011-12-12 02:58 PM	D19
businesstravellogue	AA-1007-TPA-MIA		2011-12-12 01:55 PM	F77		2011-12-12 02:58 PM	D19
flylouisville	AA-1007-TPA-MIA		2011-12-12 01:55 PM	F77		2011-12-12 02:58 PM	D19
flightview	AA-1007-TPA-MIA		2:07 PMDec 12			2:58 PMDec 12	
panynj	AA-1007-TPA-MIA		2:07 PMDec 12			2:58 PMDec 12	
gofox	AA-1007-TPA-MIA		2:07 PMDec 12			2:58 PMDec 12	
foxbusiness	AA-1007-TPA-MIA		2:07 PMDec 12			2:58 PMDec 12	
allegiantair	AA-1007-TPA-MIA		2:07 PMDec 12			2:58 PMDec 12	
boston	AA-1007-TPA-MIA		2:07 PMDec 12			2:44 PMDec 12	
orbitz	AA-1007-TPA-MIA	1:55pDec 12	1:55pDec 12	 F77	3:00pDec 12	2:58pDec 12	 D19
weather	AA-1007-TPA-MIA	2011-12-12 01:55 PM			2011-12-12 03:00 PM		
mia	AA-1007-TPA-MIA				3:00P 12-12-11	2011-12-12  3:20P	
usatoday	AA-1007-TPA-MIA		2:07 PMDec 12			2:44 PMDec 12	
aa	AA-1518-DFW-SDF	December 12, 2011               12:10 PM    	December 12, 2011               12:05 PM    	 C12	December 12, 2011               03:10 PM    	December 12, 2011               03:01 PM    	 A15    
flightexplorer	AA-1518-DFW-SDF		12/12/2011 12:22PM CST			12/12/2011 2:57PM EST	
airtravelcenter	AA-1518-DFW-SDF		12/12/11 12:21 PM (-06:00)			12/12/11 2:57 PM (-05:00)	
myrateplan	AA-1518-DFW-SDF		12/12/11 12:21 PM (-06:00)			12/12/11 2:57 PM (-05:00)	
helloflight	AA-1518-DFW-SDF		12/12/11 12:21 PM (-06:00)			12/12/11 2:57 PM (-05:00)	
flytecomm	AA-1518-DFW-SDF		12/12/11 12:21 PM (-06:00)			12/12/11 2:57 PM (-05:00)	
flightaware	AA-1518-DFW-SDF	2011-12-12 12:10PM CST	2011-12-12 12:22PM CST	 C12 	2011-12-12 02:57PM EST	2011-12-12 02:54PM EST	 A15 
wunderground	AA-1518-DFW-SDF	2011-12-12 12:10PM CST	2011-12-12 12:22PM CST	 C12 	2011-12-12 02:57PM EST	2011-12-12 02:54PM EST	 A15 
flights	AA-1518-DFW-SDF	12:10 PM  Mon 12-Dec-2011	12:05 PM  Mon 12-Dec-2011	C12	03:10 PM  Mon 12-Dec-2011	03:01 PM  Mon 12-Dec-2011	A15
businesstravellogue	AA-1518-DFW-SDF	12:10 PM  Mon 12-Dec-2011	12:05 PM  Mon 12-Dec-2011	C12	03:10 PM  Mon 12-Dec-2011	03:01 PM  Mon 12-Dec-2011	A15
flylouisville	AA-1518-DFW-SDF	12:10 PM  Mon 12-Dec-2011	12:05 PM  Mon 12-Dec-2011	C12	03:10 PM  Mon 12-Dec-2011	03:01 PM  Mon 12-Dec-2011	A15
flightstats	AA-1518-DFW-SDF	2011-12-12 12:10 PM	2011-12-12 12:05 PM		2011-12-12 3:10 PM	2011-12-12 3:01 PM	
quicktrip	AA-1518-DFW-SDF	2011-12-12 12:10 PM	2011-12-12 12:05 PM		2011-12-12 3:10 PM	2011-12-12 3:01 PM	
world-flight-tracker	AA-1518-DFW-SDF	2011-12-12 12:10 PM	2011-12-12 12:05 PM		2011-12-12 3:10 PM	2011-12-12 3:01 PM	
flightview	AA-1518-DFW-SDF	12:10 PM, Dec 12	12:22 PM, Dec 12		3:10 PM, Dec 12	2:55 PM, Dec 12	
panynj	AA-1518-DFW-SDF	12:10 PM, Dec 12	12:22 PM, Dec 12		3:10 PM, Dec 12	2:55 PM, Dec 12	
gofox	AA-1518-DFW-SDF	12:10 PM, Dec 12	12:22 PM, Dec 12		3:10 PM, Dec 12	2:55 PM, Dec 12	
foxbusiness	AA-1518-DFW-SDF	12:10 PM, Dec 12	12:22 PM, Dec 12		3:10 PM, Dec 12	2:55 PM, Dec 12	
allegiantair	AA-1518-DFW-SDF	12:10 PM, Dec 12	12:22 PM, Dec 12		3:10 PM, Dec 12	2:55 PM, Dec 12	
boston	AA-1518-DFW-SDF	12:10 PM, Dec 12	12:22 PM, Dec 12		3:10 PM, Dec 12	2:55 PM, Dec 12	
orbitz	AA-1518-DFW-SDF	12:10pDec 12	12:05pDec 12	 C12	3:10pDec 12	3:01pDec 12	 A15
weather	AA-1518-DFW-SDF	2011-12-12 12:10 PM			2011-12-12 03:10 PM		
dfw	AA-1518-DFW-SDF	2011-12-12 12:10 pm		C12			
ifly	AA-1518-DFW-SDF	2011-12-12 12:10 PM	2011-12-12 12:05 PM		2011-12-12 3:10 PM	2011-12-12 3:01 PM	
mytripandmore	AA-1518-DFW-SDF	12:10pDec 12	12:05pDec 12	 C12	3:10pDec 12	3:01pDec 12	 A15
flightwise	AA-1518-DFW-SDF	2011-12-12 12:10PM CST	2011-12-12 12:22PM CST	 C12 	2011-12-12 02:57PM EST	2011-12-12 02:54PM EST	 A15 
flightarrival	AA-1518-DFW-SDF	12:10 PM, Dec 12	12:22 PM, Dec 12		3:10 PM, Dec 12	2:55 PM, Dec 12	
ua	UA-4642-IAH-AMA	Mon, Dec 12 6:20 PM	Mon, Dec 12 6:20 PM	B74	Mon, Dec 12 8:03 PM	Mon, Dec 12 8:03 PM	4
airtravelcenter	UA-4642-IAH-AMA	12/12/11 6:20 PM (-06:00)			12/12/11 8:03 PM (-06:00)		
myrateplan	UA-4642-IAH-AMA	12/12/11 6:20 PM (-06:00)			12/12/11 8:03 PM (-06:00)		
helloflight	UA-4642-IAH-AMA	12/12/11 6:20 PM (-06:00)			12/12/11 8:03 PM (-06:00)		
flytecomm	UA-4642-IAH-AMA	12/12/11 6:20 PM (-06:00)			12/12/11 8:03 PM (-06:00)		
flights	UA-4642-IAH-AMA	06:20 PM  Mon 12-Dec-2011			08:03 PM  Mon 12-Dec-2011		
businesstravellogue	UA-4642-IAH-AMA	06:20 PM  Mon 12-Dec-2011			08:03 PM  Mon 12-Dec-2011		
flylouisville	UA-4642-IAH-AMA	06:20 PM  Mon 12-Dec-2011			08:03 PM  Mon 12-Dec-2011		
flightstats	UA-4642-IAH-AMA	2011-12-12 6:20 PM	2011-12-12 6:20 PM (Estimated)		2011-12-12 8:03 PM	2011-12-12 8:03 PM (Estimated)	
quicktrip	UA-4642-IAH-AMA	2011-12-12 6:20 PM	2011-12-12 6:20 PM (Estimated)		2011-12-12 8:03 PM	2011-12-12 8:03 PM (Estimated)	
world-flight-tracker	UA-4642-IAH-AMA	2011-12-12 6:20 PM	2011-12-12 6:20 PM (Estimated)		2011-12-12 8:03 PM	2011-12-12 8:03 PM (Estimated)	
flightview	UA-4642-IAH-AMA	6:20 PM, Dec 12		Term B - B74	8:03 PM, Dec 12		Main Term - 4
panynj	UA-4642-IAH-AMA	6:20 PM, Dec 12		Term B - B74	8:03 PM, Dec 12		Main Term - 4
gofox	UA-4642-IAH-AMA	6:20 PM, Dec 12			8:03 PM, Dec 12		
foxbusiness	UA-4642-IAH-AMA	6:20 PM, Dec 12		Term B - B74	8:03 PM, Dec 12		Main Term - 4
allegiantair	UA-4642-IAH-AMA	6:20 PM, Dec 12		Term B - B74	8:03 PM, Dec 12		Main Term - 4
boston	UA-4642-IAH-AMA	6:20 PM, Dec 12	Not Available		8:03 PM, Dec 12	Not Available	
orbitz	UA-4642-IAH-AMA	6:20pDec 12		 B74	8:03pDec 12		 4
ifly	UA-4642-IAH-AMA	2011-12-12 6:20 PM	2011-12-12 6:20 PM (Estimated)		2011-12-12 8:03 PM	2011-12-12 8:03 PM (Estimated)	
flightarrival	UA-4642-IAH-AMA	2011-12-12 6:20 PM	2011-12-12 6:20 PM (Estimated)		2011-12-12 8:03 PM	2011-12-12 8:03 PM (Estimated)	
ua	UA-432-SFO-ORD	Mon, Dec 12 6:00 AM	Mon, Dec 12 6:02 AM	83	Mon, Dec 12 12:18 PM	Mon, Dec 12 11:52 AM	C26
flightexplorer	UA-432-SFO-ORD		12/12/2011 6:27AM PST			12/12/2011 11:51AM CST	
airtravelcenter	UA-432-SFO-ORD		12/12/11 6:29 AM (-08:00)			12/12/11 11:51 AM (-06:00)	
myrateplan	UA-432-SFO-ORD		12/12/11 6:29 AM (-08:00)			12/12/11 11:51 AM (-06:00)	
