CO	CO-4237-EWR-DTW	Sat., Dec.24, 2011 12:33 p.m.	Sat., Dec.24, 2011 12:40 p.m.		Sat., Dec.24, 2011 2:38 p.m.	Sat., Dec.24, 2011 2:33 p.m.	
airtravelcenter	CO-4237-EWR-DTW	12/24/11 12:33 PM (-05:00)			12/24/11 2:38 PM (-05:00)		
myrateplan	CO-4237-EWR-DTW	12/24/11 12:33 PM (-05:00)			12/24/11 2:38 PM (-05:00)		
helloflight	CO-4237-EWR-DTW	12/24/11 12:33 PM (-05:00)			12/24/11 2:38 PM (-05:00)		
flytecomm	CO-4237-EWR-DTW	12/24/11 12:33 PM (-05:00)			12/24/11 2:38 PM (-05:00)		
flightaware	CO-4237-EWR-DTW	2011-12-24 12:09PM EST	2011-12-24 12:09PM EST		2011-12-24 02:16PM EST	2011-12-24 02:16PM EST	
wunderground	CO-4237-EWR-DTW	2011-12-24 12:09PM EST	2011-12-24 12:09PM EST		2011-12-24 02:16PM EST	2011-12-24 02:16PM EST	
flights	CO-4237-EWR-DTW		2011-12-24 12:40 PM	23		2011-12-24 02:33 PM	D2
businesstravellogue	CO-4237-EWR-DTW		2011-12-24 12:40 PM	23		2011-12-24 02:33 PM	D2
flylouisville	CO-4237-EWR-DTW		2011-12-24 12:40 PM	23		2011-12-24 02:33 PM	D2
flightstats	CO-4237-EWR-DTW	2011-12-24 12:33 PM	2011-12-24 12:40 PM		2011-12-24 2:38 PM	2011-12-24 2:33 PM	
quicktrip	CO-4237-EWR-DTW	2011-12-24 12:33 PM	2011-12-24 12:40 PM		2011-12-24 2:38 PM	2011-12-24 2:33 PM	
flightview	CO-4237-EWR-DTW		12:53 PMDec 24			2:33 PMDec 24	
panynj	CO-4237-EWR-DTW		12:53 PMDec 24			2:33 PMDec 24	
gofox	CO-4237-EWR-DTW		12:53 PMDec 24			2:33 PMDec 24	
foxbusiness	CO-4237-EWR-DTW		12:53 PMDec 24			2:33 PMDec 24	
allegiantair	CO-4237-EWR-DTW		12:53 PMDec 24			2:33 PMDec 24	
boston	CO-4237-EWR-DTW		12:53 PMDec 24			2:24 PMDec 24	
travelocity	CO-4237-EWR-DTW	Dec 24 - 12:33pm	Dec 24 - 12:40pm	A23	Dec 24 - 2:38pm	Dec 24 - 2:33pm	D-2
orbitz	CO-4237-EWR-DTW	12:33pDec 24	12:40pDec 24	 -	2:38pDec 24	2:33pDec 24	 -
weather	CO-4237-EWR-DTW	2011-12-24 12:33 PM			2011-12-24 02:38 PM		
usatoday	CO-4237-EWR-DTW	2011-12-24 12:33 PM			2011-12-24 02:38 PM		
mytripandmore	CO-4237-EWR-DTW	12:33pDec 24	12:40pDec 24	 -	2:38pDec 24	2:33pDec 24	 -
flightwise	CO-4237-EWR-DTW	2011-12-24 12:09PM EST	2011-12-24 12:09PM EST		2011-12-24 02:16PM EST	2011-12-24 02:16PM EST	
flightarrival	CO-4237-EWR-DTW	2011-12-24 12:33 PM	2011-12-24 12:40 PM		2011-12-24 2:38 PM	2011-12-24 2:33 PM	
aa	AA-1007-TPA-MIA	December 24, 2011               01:55 PM    	December 24, 2011               01:55 PM    	 F80	December 24, 2011               03:00 PM    	December 24, 2011               02:55 PM    	 D37    
flightexplorer	AA-1007-TPA-MIA		12/24/2011 2:05PM EST			12/24/2011 2:45PM EST	
airtravelcenter	AA-1007-TPA-MIA		12/24/11 2:05 PM (-05:00)			12/24/11 2:45 PM (-05:00)	
myrateplan	AA-1007-TPA-MIA		12/24/11 2:05 PM (-05:00)			12/24/11 2:45 PM (-05:00)	
helloflight	AA-1007-TPA-MIA		12/24/11 2:05 PM (-05:00)			12/24/11 2:45 PM (-05:00)	
flytecomm	AA-1007-TPA-MIA		12/24/11 2:05 PM (-05:00)			12/24/11 2:45 PM (-05:00)	
flights	AA-1007-TPA-MIA		2011-12-24 01:55 PM	F80		2011-12-24 02:55 PM	D37
businesstravellogue	AA-1007-TPA-MIA		2011-12-24 01:55 PM	F80		2011-12-24 02:55 PM	D37
flylouisville	AA-1007-TPA-MIA		2011-12-24 01:55 PM	F80		2011-12-24 02:55 PM	D37
flightview	AA-1007-TPA-MIA		2:05 PMDec 24			2:55 PMDec 24	
panynj	AA-1007-TPA-MIA		2:05 PMDec 24			2:55 PMDec 24	
gofox	AA-1007-TPA-MIA		2:05 PMDec 24			2:55 PMDec 24	
foxbusiness	AA-1007-TPA-MIA		2:05 PMDec 24			2:55 PMDec 24	
allegiantair	AA-1007-TPA-MIA		2:05 PMDec 24			2:55 PMDec 24	
boston	AA-1007-TPA-MIA		2:05 PMDec 24			2:43 PMDec 24	
travelocity	AA-1007-TPA-MIA	Dec 24 - 1:55pm	Dec 24 - 1:55pm	F80	Dec 24 - 3:00pm	Dec 24 - 2:55pm	D37
orbitz	AA-1007-TPA-MIA	1:55pDec 24	1:55pDec 24	 F80	3:00pDec 24	2:55pDec 24	 D37
weather	AA-1007-TPA-MIA	2011-12-24 01:55 PM			2011-12-24 03:00 PM		
mia	AA-1007-TPA-MIA				3:00P 12-24-11	2011-12-24  2:55P	
aa	AA-1518-DFW-SDF	December 24, 2011               12:10 PM    	December 24, 2011               12:19 PM    	 A21	December 24, 2011               03:10 PM    	December 24, 2011               03:06 PM    	 A15    
airtravelcenter	AA-1518-DFW-SDF		12/24/11 12:33 PM (-06:00)			12/24/11 3:02 PM (-05:00)	
myrateplan	AA-1518-DFW-SDF		12/24/11 12:33 PM (-06:00)			12/24/11 3:02 PM (-05:00)	
helloflight	AA-1518-DFW-SDF		12/24/11 12:33 PM (-06:00)			12/24/11 3:02 PM (-05:00)	
flytecomm	AA-1518-DFW-SDF		12/24/11 12:33 PM (-06:00)			12/24/11 3:02 PM (-05:00)	
flightaware	AA-1518-DFW-SDF	2011-12-24 12:10PM CST	2011-12-24 12:34PM CST	 A21 	2011-12-24 02:49PM EST	2011-12-24 02:59PM EST	 A15 
wunderground	AA-1518-DFW-SDF	2011-12-24 12:10PM CST	2011-12-24 12:34PM CST	 A21 	2011-12-24 02:49PM EST	2011-12-24 02:59PM EST	 A15 
flights	AA-1518-DFW-SDF	12:10 PM  Sat 24-Dec-2011	12:19 PM  Sat 24-Dec-2011	A21	03:10 PM  Sat 24-Dec-2011	03:06 PM  Sat 24-Dec-2011	A15
businesstravellogue	AA-1518-DFW-SDF	12:10 PM  Sat 24-Dec-2011	12:19 PM  Sat 24-Dec-2011	A21	03:10 PM  Sat 24-Dec-2011	03:06 PM  Sat 24-Dec-2011	A15
flylouisville	AA-1518-DFW-SDF	12:10 PM  Sat 24-Dec-2011	12:19 PM  Sat 24-Dec-2011	A21	03:10 PM  Sat 24-Dec-2011	03:06 PM  Sat 24-Dec-2011	A15
flightstats	AA-1518-DFW-SDF	2011-12-24 12:10 PM	2011-12-24 12:19 PM		2011-12-24 3:10 PM	2011-12-24 3:06 PM	
quicktrip	AA-1518-DFW-SDF	2011-12-24 12:10 PM	2011-12-24 12:19 PM		2011-12-24 3:10 PM	2011-12-24 3:06 PM	
world-flight-tracker	AA-1518-DFW-SDF	2011-12-24 12:10 PM	2011-12-24 12:19 PM		2011-12-24 3:10 PM	2011-12-24 3:06 PM	
flightview	AA-1518-DFW-SDF	12:10 PM, Dec 24	12:34 PM, Dec 24		3:10 PM, Dec 24	2:59 PM, Dec 24	
panynj	AA-1518-DFW-SDF	12:10 PM, Dec 24	12:34 PM, Dec 24		3:10 PM, Dec 24	2:59 PM, Dec 24	
gofox	AA-1518-DFW-SDF	12:10 PM, Dec 24	12:34 PM, Dec 24		3:10 PM, Dec 24	2:59 PM, Dec 24	
foxbusiness	AA-1518-DFW-SDF	12:10 PM, Dec 24	12:34 PM, Dec 24		3:10 PM, Dec 24	2:59 PM, Dec 24	
allegiantair	AA-1518-DFW-SDF	12:10 PM, Dec 24	12:34 PM, Dec 24		3:10 PM, Dec 24	2:59 PM, Dec 24	
boston	AA-1518-DFW-SDF	12:10 PM, Dec 24	12:34 PM, Dec 24		3:10 PM, Dec 24	2:59 PM, Dec 24	
travelocity	AA-1518-DFW-SDF	Dec 24 - 12:10pm	Dec 24 - 12:19pm	A21/A	Dec 24 - 3:10pm	Dec 24 - 3:06pm	A15
orbitz	AA-1518-DFW-SDF	12:10pDec 24	12:19pDec 24	 A21	3:10pDec 24	3:06pDec 24	 A15
weather	AA-1518-DFW-SDF	2011-12-24 12:10 PM			2011-12-24 03:10 PM		
dfw	AA-1518-DFW-SDF	2011-12-24 12:10 pm		A21			
ifly	AA-1518-DFW-SDF	2011-12-24 12:10 PM	2011-12-24 12:19 PM		2011-12-24 3:10 PM	2011-12-24 3:06 PM	
flightwise	AA-1518-DFW-SDF	2011-12-24 12:10PM CST	2011-12-24 12:34PM CST	 A21 	2011-12-24 02:49PM EST	2011-12-24 02:59PM EST	 A15 
flightarrival	AA-1518-DFW-SDF	12:10 PM, Dec 24	12:34 PM, Dec 24		3:10 PM, Dec 24	2:59 PM, Dec 24	
ua	UA-2706-EWR-CLT	Sat, Dec 24 6:29 PM	Sat, Dec 24 6:29 PM	A38	Sat, Dec 24 8:33 PM	Sat, Dec 24 8:08 PM	C14
airtravelcenter	UA-2706-EWR-CLT		12/24/11 6:35 PM (-05:00)			12/24/11 7:56 PM (-05:00)	
myrateplan	UA-2706-EWR-CLT		12/24/11 6:35 PM (-05:00)			12/24/11 7:56 PM (-05:00)	
helloflight	UA-2706-EWR-CLT		12/24/11 6:35 PM (-05:00)			12/24/11 7:56 PM (-05:00)	
flytecomm	UA-2706-EWR-CLT		12/24/11 6:35 PM (-05:00)			12/24/11 7:56 PM (-05:00)	
flightaware	UA-2706-EWR-CLT	2011-12-24 06:29PM EST	2011-12-24 06:34PM EST		2011-12-24 08:23PM EST	2011-12-24 07:53PM EST	
wunderground	UA-2706-EWR-CLT	2011-12-24 06:29PM EST	2011-12-24 06:34PM EST		2011-12-24 08:23PM EST	2011-12-24 07:53PM EST	
flights	UA-2706-EWR-CLT	06:29 PM  Sat 24-Dec-2011	06:21 PM  Sat 24-Dec-2011	38	08:33 PM  Sat 24-Dec-2011	08:08 PM  Sat 24-Dec-2011	C14
businesstravellogue	UA-2706-EWR-CLT	06:29 PM  Sat 24-Dec-2011	06:21 PM  Sat 24-Dec-2011	38	08:33 PM  Sat 24-Dec-2011	08:08 PM  Sat 24-Dec-2011	C14
flylouisville	UA-2706-EWR-CLT	06:29 PM  Sat 24-Dec-2011	06:21 PM  Sat 24-Dec-2011	38	08:33 PM  Sat 24-Dec-2011	08:08 PM  Sat 24-Dec-2011	C14
flightstats	UA-2706-EWR-CLT	2011-12-24 6:29 PM	2011-12-24 6:21 PM		2011-12-24 8:33 PM	2011-12-24 8:08 PM	
quicktrip	UA-2706-EWR-CLT	2011-12-24 6:29 PM	2011-12-24 6:21 PM		2011-12-24 8:33 PM	2011-12-24 8:08 PM	
world-flight-tracker	UA-2706-EWR-CLT	2011-12-24 6:29 PM	2011-12-24 6:21 PM		2011-12-24 8:33 PM	2011-12-24 8:08 PM	
flightview	UA-2706-EWR-CLT	6:29 PM, Dec 24	6:35 PM, Dec 24		8:33 PM, Dec 24	7:58 PM, Dec 24	
panynj	UA-2706-EWR-CLT	6:29 PM, Dec 24	6:35 PM, Dec 24		8:33 PM, Dec 24	7:58 PM, Dec 24	
gofox	UA-2706-EWR-CLT	6:29 PM, Dec 24	6:35 PM, Dec 24		8:33 PM, Dec 24	7:58 PM, Dec 24	
foxbusiness	UA-2706-EWR-CLT	6:29 PM, Dec 24	6:35 PM, Dec 24		8:33 PM, Dec 24	7:58 PM, Dec 24	
allegiantair	UA-2706-EWR-CLT	6:29 PM, Dec 24	6:35 PM, Dec 24		8:33 PM, Dec 24	7:58 PM, Dec 24	
boston	UA-2706-EWR-CLT	6:29 PM, Dec 24	6:35 PM, Dec 24		8:33 PM, Dec 24	7:58 PM, Dec 24	
travelocity	UA-2706-EWR-CLT	Dec 24 - 6:29pm	Dec 24 - Contact Airline	Not provided by airline	Dec 24 - 8:33pm	Dec 24 - Contact Airline	Not provided by airline
