ua	UA-1534-RTB-IAH	Sat, Dec 3 2:05 PM	Sat, Dec 3 2:59 PM	--	Sat, Dec 3 5:01 PM	Sat, Dec 3 5:49 PM	E17
airtravelcenter	UA-1534-RTB-IAH		12/3/11 3:10 PM (-06:00)			12/3/11 5:29 PM (-06:00)	
myrateplan	UA-1534-RTB-IAH		12/3/11 3:10 PM (-06:00)			12/3/11 5:29 PM (-06:00)	
helloflight	UA-1534-RTB-IAH		12/3/11 3:10 PM (-06:00)			12/3/11 5:29 PM (-06:00)	
flytecomm	UA-1534-RTB-IAH		12/3/11 3:10 PM (-06:00)			12/3/11 5:29 PM (-06:00)	
flights	UA-1534-RTB-IAH	02:05 PM  Sat 03-Dec-2011			05:01 PM  Sat 03-Dec-2011		
businesstravellogue	UA-1534-RTB-IAH	02:05 PM  Sat 03-Dec-2011			05:01 PM  Sat 03-Dec-2011		
flylouisville	UA-1534-RTB-IAH	02:05 PM  Sat 03-Dec-2011			05:01 PM  Sat 03-Dec-2011		
flightview	UA-1534-RTB-IAH	2:05 PM, Dec 03	1:51 PM, Dec 03		5:01 PM, Dec 03		
panynj	UA-1534-RTB-IAH	2:05 PM, Dec 03	1:51 PM, Dec 03		5:01 PM, Dec 03		
gofox	UA-1534-RTB-IAH	2:05 PM, Dec 03	1:51 PM, Dec 03		5:01 PM, Dec 03		
foxbusiness	UA-1534-RTB-IAH	2:05 PM, Dec 03	1:51 PM, Dec 03		5:01 PM, Dec 03		
allegiantair	UA-1534-RTB-IAH	2:05 PM, Dec 03	1:51 PM, Dec 03		5:01 PM, Dec 03		
boston	UA-1534-RTB-IAH	2:05 PM, Dec 03	1:51 PM, Dec 03		5:01 PM, Dec 03	5:34 PM, Dec 03&nbsp(Estimated)	
travelocity	UA-1534-RTB-IAH	Dec 03 - 2:05pm	Dec 03 - Contact Airline	Not provided by airline	Dec 03 - 5:01pm	Dec 03 - Contact Airline	Not provided by airline
orbitz	UA-1534-RTB-IAH	2:05pDec 3	2:59pDec 3	 -1-	6:37pDec 3		 E17
aa	AA-1007-TPA-MIA	12/03/2011 01:55 PM	12/03/2011 02:07 PM	F79	12/03/2011 03:00 PM	12/03/2011 03:00 PM	D5
airtravelcenter	AA-1007-TPA-MIA		12/3/11 2:07 PM (-05:00)			12/3/11 2:51 PM (-05:00)	
myrateplan	AA-1007-TPA-MIA		12/3/11 2:07 PM (-05:00)			12/3/11 2:51 PM (-05:00)	
helloflight	AA-1007-TPA-MIA		12/3/11 2:07 PM (-05:00)			12/3/11 2:51 PM (-05:00)	
flytecomm	AA-1007-TPA-MIA		12/3/11 2:07 PM (-05:00)			12/3/11 2:51 PM (-05:00)	
flights	AA-1007-TPA-MIA		2011-12-03 02:07 PM	F79		2011-12-03 03:00 PM	D5
businesstravellogue	AA-1007-TPA-MIA		2011-12-03 02:07 PM	F79		2011-12-03 03:00 PM	D5
flylouisville	AA-1007-TPA-MIA		2011-12-03 02:07 PM	F79		2011-12-03 03:00 PM	D5
flightview	AA-1007-TPA-MIA		2:08 PMDec 03			3:00 PMDec 03	
panynj	AA-1007-TPA-MIA		2:08 PMDec 03			3:00 PMDec 03	
gofox	AA-1007-TPA-MIA		2:08 PMDec 03			3:00 PMDec 03	
foxbusiness	AA-1007-TPA-MIA		2:08 PMDec 03			3:00 PMDec 03	
allegiantair	AA-1007-TPA-MIA		2:08 PMDec 03			3:00 PMDec 03	
boston	AA-1007-TPA-MIA		2:08 PMDec 03			2:49 PMDec 03	
travelocity	AA-1007-TPA-MIA	Dec 03 - 1:55pm	Dec 03 - 1:57pm	F79	Dec 03 - 3:00pm	Dec 03 - 3:00pm	D5
orbitz	AA-1007-TPA-MIA	1:55pDec 3	1:57pDec 3	 F79	3:00pDec 3	3:00pDec 3	 D5
weather	AA-1007-TPA-MIA	2011-12-03 01:55 PM			2011-12-03 03:00 PM		
mia	AA-1007-TPA-MIA				3:00P 12-03-11	2011-12-03  3:00P	
usatoday	AA-1007-TPA-MIA	2011-12-03 01:55 PM			2011-12-03 03:00 PM		
mytripandmore	AA-1007-TPA-MIA	Dec 03 - 1:55pm	Dec 03 - 1:57pm	F79	Dec 03 - 3:00pm	Dec 03 - 3:00pm	D5
flightarrival	AA-1007-TPA-MIA	2011-12-03 01:55 PM			2011-12-03 03:00 PM		
aa	AA-1518-DFW-SDF	12/03/2011 12:10 PM	12/03/2011 12:18 PM	C33	12/03/2011 03:10 PM	12/03/2011 02:54 PM	A15
airtravelcenter	AA-1518-DFW-SDF		12/3/11 12:17 PM (-06:00)			12/3/11 2:51 PM (-05:00)	
myrateplan	AA-1518-DFW-SDF		12/3/11 12:17 PM (-06:00)			12/3/11 2:51 PM (-05:00)	
helloflight	AA-1518-DFW-SDF		12/3/11 12:17 PM (-06:00)			12/3/11 2:51 PM (-05:00)	
flytecomm	AA-1518-DFW-SDF		12/3/11 12:17 PM (-06:00)			12/3/11 2:51 PM (-05:00)	
flightaware	AA-1518-DFW-SDF	2011-12-03 12:10PM CST	2011-12-03 12:18PM CST	 C33 	2011-12-03 02:40PM EST	2011-12-03 02:51PM EST	 A15 
wunderground	AA-1518-DFW-SDF	2011-12-03 12:10PM CST	2011-12-03 12:18PM CST	 C33 	2011-12-03 02:40PM EST	2011-12-03 02:51PM EST	 A15 
flights	AA-1518-DFW-SDF	12:10 PM  Sat 03-Dec-2011	12:18 PM  Sat 03-Dec-2011	C33	03:10 PM  Sat 03-Dec-2011	02:54 PM  Sat 03-Dec-2011	A15
businesstravellogue	AA-1518-DFW-SDF	12:10 PM  Sat 03-Dec-2011	12:18 PM  Sat 03-Dec-2011	C33	03:10 PM  Sat 03-Dec-2011	02:54 PM  Sat 03-Dec-2011	A15
flylouisville	AA-1518-DFW-SDF	12:10 PM  Sat 03-Dec-2011	12:18 PM  Sat 03-Dec-2011	C33	03:10 PM  Sat 03-Dec-2011	02:54 PM  Sat 03-Dec-2011	A15
flightstats	AA-1518-DFW-SDF	2011-12-03 12:10 PM	2011-12-03 12:18 PM		2011-12-03 3:10 PM	2011-12-03 2:54 PM	
quicktrip	AA-1518-DFW-SDF	2011-12-03 12:10 PM	2011-12-03 12:18 PM		2011-12-03 3:10 PM	2011-12-03 2:54 PM	
world-flight-tracker	AA-1518-DFW-SDF	2011-12-03 12:10 PM	2011-12-03 12:18 PM		2011-12-03 3:10 PM	2011-12-03 2:54 PM	
flightview	AA-1518-DFW-SDF	12:10 PM, Dec 03	12:18 PM, Dec 03		3:10 PM, Dec 03	2:49 PM, Dec 03	
panynj	AA-1518-DFW-SDF	12:10 PM, Dec 03	12:18 PM, Dec 03		3:10 PM, Dec 03	2:49 PM, Dec 03	
gofox	AA-1518-DFW-SDF	12:10 PM, Dec 03	12:18 PM, Dec 03		3:10 PM, Dec 03	2:49 PM, Dec 03	
foxbusiness	AA-1518-DFW-SDF	12:10 PM, Dec 03	12:18 PM, Dec 03		3:10 PM, Dec 03	2:49 PM, Dec 03	
allegiantair	AA-1518-DFW-SDF	12:10 PM, Dec 03	12:18 PM, Dec 03		3:10 PM, Dec 03	2:49 PM, Dec 03	
boston	AA-1518-DFW-SDF	12:10 PM, Dec 03	12:18 PM, Dec 03		3:10 PM, Dec 03	2:49 PM, Dec 03	
travelocity	AA-1518-DFW-SDF	Dec 03 - 12:10pm	Dec 03 - 12:07pm	C33/C	Dec 03 - 3:10pm	Dec 03 - 2:54pm	A15
orbitz	AA-1518-DFW-SDF	12:10pDec 3	12:07pDec 3	 C33	3:10pDec 3	2:54pDec 3	 A15
weather	AA-1518-DFW-SDF	2011-12-03 12:10 PM			2011-12-03 03:10 PM		
dfw	AA-1518-DFW-SDF	2011-12-03 12:10 pm		C33			
flightwise	AA-1518-DFW-SDF	2011-12-03 12:10PM CST	2011-12-03 12:18PM CST	 C33 	2011-12-03 02:40PM EST	2011-12-03 02:51PM EST	 A15 
ua	UA-4642-IAH-AMA	Sat, Dec 3 6:20 PM	Sat, Dec 3 6:20 PM	B84P	Sat, Dec 3 8:01 PM	Sat, Dec 3 8:01 PM	4
airtravelcenter	UA-4642-IAH-AMA	12/3/11 6:20 PM (-06:00)			12/3/11 8:01 PM (-06:00)		
myrateplan	UA-4642-IAH-AMA	12/3/11 6:20 PM (-06:00)			12/3/11 8:01 PM (-06:00)		
helloflight	UA-4642-IAH-AMA	12/3/11 6:20 PM (-06:00)			12/3/11 8:01 PM (-06:00)		
flytecomm	UA-4642-IAH-AMA	12/3/11 6:20 PM (-06:00)			12/3/11 8:01 PM (-06:00)		
flights	UA-4642-IAH-AMA	06:20 PM  Sat 03-Dec-2011			08:01 PM  Sat 03-Dec-2011		
businesstravellogue	UA-4642-IAH-AMA	06:20 PM  Sat 03-Dec-2011			08:01 PM  Sat 03-Dec-2011		
flylouisville	UA-4642-IAH-AMA	06:20 PM  Sat 03-Dec-2011			08:01 PM  Sat 03-Dec-2011		
flightstats	UA-4642-IAH-AMA	2011-12-03 6:20 PM	2011-12-03 6:20 PM (Estimated)		2011-12-03 8:01 PM	2011-12-03 8:01 PM (Estimated)	
quicktrip	UA-4642-IAH-AMA	2011-12-03 6:20 PM	2011-12-03 6:20 PM (Estimated)		2011-12-03 8:01 PM	2011-12-03 8:01 PM (Estimated)	
world-flight-tracker	UA-4642-IAH-AMA	2011-12-03 6:20 PM	2011-12-03 6:20 PM (Estimated)		2011-12-03 8:01 PM	2011-12-03 8:01 PM (Estimated)	
flightview	UA-4642-IAH-AMA	6:20 PM, Dec 03		Term B - B84P	8:01 PM, Dec 03		Main Term - 4
panynj	UA-4642-IAH-AMA	6:20 PM, Dec 03		Term B - B84P	8:01 PM, Dec 03		Main Term - 4
gofox	UA-4642-IAH-AMA	6:20 PM, Dec 03			8:01 PM, Dec 03		
foxbusiness	UA-4642-IAH-AMA	6:20 PM, Dec 03		Term B - B84P	8:01 PM, Dec 03		Main Term - 4
allegiantair	UA-4642-IAH-AMA	6:20 PM, Dec 03		Term B - B84P	8:01 PM, Dec 03		Main Term - 4
boston	UA-4642-IAH-AMA	6:20 PM, Dec 03	Not Available		8:01 PM, Dec 03	Not Available	
travelocity	UA-4642-IAH-AMA	Dec 03 - 6:20pm	Dec 03 - Contact Airline	Not provided by airline	Dec 03 - 8:01pm	Dec 03 - Contact Airline	Not provided by airline
orbitz	UA-4642-IAH-AMA	6:20pDec 3		 B84P	8:01pDec 3		 4
usatoday	UA-4642-IAH-AMA	6:20 PM, Dec 03	Not Available		8:01 PM, Dec 03	Not Available	
mytripandmore	UA-4642-IAH-AMA	Dec 03 - 6:20pm	Dec 03 - Contact Airline	Not provided by airline	Dec 03 - 8:01pm	Dec 03 - Contact Airline	Not provided by airline
flightarrival	UA-4642-IAH-AMA	6:20 PM, Dec 03	Not Available		8:01 PM, Dec 03	Not Available	
ua	UA-1411-EWR-BQN	Sat, Dec 3 8:25 PM	Sat, Dec 3 8:34 PM	C134	Sun, Dec 4 1:07 AM	Sun, Dec 4 1:07 AM	--
flightexplorer	UA-1411-EWR-BQN		12/3/2011 8:46PM EST			12/4/2011 1:02AM AST	
flights	UA-1411-EWR-BQN	08:25 PM  Sat 03-Dec-2011			01:07 AM  Sun 04-Dec-2011		
businesstravellogue	UA-1411-EWR-BQN	08:25 PM  Sat 03-Dec-2011			01:07 AM  Sun 04-Dec-2011		
flylouisville	UA-1411-EWR-BQN	08:25 PM  Sat 03-Dec-2011			01:07 AM  Sun 04-Dec-2011		
flightview	UA-1411-EWR-BQN	8:25 PM, Dec 03	8:48 PM, Dec 03		1:07 AM, Dec 04		
panynj	UA-1411-EWR-BQN	8:25 PM, Dec 03	8:48 PM, Dec 03		1:07 AM, Dec 04		
gofox	UA-1411-EWR-BQN	8:25 PM, Dec 03	8:48 PM, Dec 03		1:07 AM, Dec 04		
foxbusiness	UA-1411-EWR-BQN	8:25 PM, Dec 03	8:48 PM, Dec 03		1:07 AM, Dec 04		
allegiantair	UA-1411-EWR-BQN	8:25 PM, Dec 03	8:48 PM, Dec 03		1:07 AM, Dec 04		
boston	UA-1411-EWR-BQN	8:25 PM, Dec 03	8:48 PM, Dec 03		1:07 AM, Dec 04	1:02 AM, Dec 04&nbsp(Estimated)	
travelocity	UA-1411-EWR-BQN	Dec 03 - 8:25pm	Dec 03 - Contact Airline	Not provided by airline	Dec 04 - 1:07am	Dec 04 - Contact Airline	Not provided by airline
