CO	CO-4237-EWR-DTW	Thu., Dec.29, 2011 12:17 p.m.	Thu., Dec.29, 2011 12:21 p.m.		Thu., Dec.29, 2011 2:24 p.m.	Thu., Dec.29, 2011 2:19 p.m.	
airtravelcenter	CO-4237-EWR-DTW	12/29/11 12:17 PM (-05:00)			12/29/11 2:24 PM (-05:00)		
myrateplan	CO-4237-EWR-DTW	12/29/11 12:17 PM (-05:00)			12/29/11 2:24 PM (-05:00)		
helloflight	CO-4237-EWR-DTW	12/29/11 12:17 PM (-05:00)			12/29/11 2:24 PM (-05:00)		
flytecomm	CO-4237-EWR-DTW	12/29/11 12:17 PM (-05:00)			12/29/11 2:24 PM (-05:00)		
flights	CO-4237-EWR-DTW		2011-12-29 12:21 PM	27		2011-12-29 02:19 PM	D2
businesstravellogue	CO-4237-EWR-DTW		2011-12-29 12:21 PM	27		2011-12-29 02:19 PM	D2
flylouisville	CO-4237-EWR-DTW		2011-12-29 12:21 PM	27		2011-12-29 02:19 PM	D2
flightstats	CO-4237-EWR-DTW	2011-12-29 12:17 PM	2011-12-29 12:21 PM		2011-12-29 2:24 PM	2011-12-29 2:19 PM	
quicktrip	CO-4237-EWR-DTW	2011-12-29 12:17 PM	2011-12-29 12:21 PM		2011-12-29 2:24 PM	2011-12-29 2:19 PM	
flightview	CO-4237-EWR-DTW		12:36 PMDec 29			2:19 PMDec 29	
panynj	CO-4237-EWR-DTW		12:36 PMDec 29			2:19 PMDec 29	
gofox	CO-4237-EWR-DTW		12:36 PMDec 29			2:19 PMDec 29	
foxbusiness	CO-4237-EWR-DTW		12:36 PMDec 29			2:19 PMDec 29	
allegiantair	CO-4237-EWR-DTW		12:36 PMDec 29			2:19 PMDec 29	
boston	CO-4237-EWR-DTW		12:36 PMDec 29			2:06 PMDec 29	
travelocity	CO-4237-EWR-DTW	Dec 29 - 12:17pm	Dec 29 - 12:21pm	A27	Dec 29 - 2:24pm	Dec 29 - 2:19pm	D-2
orbitz	CO-4237-EWR-DTW	12:17pDec 29	12:21pDec 29	 -	2:24pDec 29	2:19pDec 29	 -
weather	CO-4237-EWR-DTW	2011-12-29 12:17 PM			2011-12-29 02:24 PM		
usatoday	CO-4237-EWR-DTW	2011-12-29 12:17 PM			2011-12-29 02:24 PM		
mytripandmore	CO-4237-EWR-DTW	12:17pDec 29	12:21pDec 29	 -	2:24pDec 29	2:19pDec 29	 -
flightarrival	CO-4237-EWR-DTW	2011-12-29 12:17 PM			2011-12-29 02:24 PM		
aa	AA-1007-TPA-MIA	December 29, 2011               01:55 PM    	December 29, 2011               01:59 PM    	 F78	December 29, 2011               03:00 PM    	December 29, 2011               03:05 PM    	 D30    
airtravelcenter	AA-1007-TPA-MIA		12/29/11 2:13 PM (-05:00)			12/29/11 2:57 PM (-05:00)	
myrateplan	AA-1007-TPA-MIA		12/29/11 2:13 PM (-05:00)			12/29/11 2:57 PM (-05:00)	
helloflight	AA-1007-TPA-MIA		12/29/11 2:13 PM (-05:00)			12/29/11 2:57 PM (-05:00)	
flytecomm	AA-1007-TPA-MIA		12/29/11 2:13 PM (-05:00)			12/29/11 2:57 PM (-05:00)	
flights	AA-1007-TPA-MIA		2011-12-29 01:59 PM	F78		2011-12-29 03:05 PM	D30
businesstravellogue	AA-1007-TPA-MIA		2011-12-29 01:59 PM	F78		2011-12-29 03:05 PM	D30
flylouisville	AA-1007-TPA-MIA		2011-12-29 01:59 PM	F78		2011-12-29 03:05 PM	D30
flightview	AA-1007-TPA-MIA		2:13 PMDec 29			3:05 PMDec 29	
panynj	AA-1007-TPA-MIA		2:13 PMDec 29			3:05 PMDec 29	
gofox	AA-1007-TPA-MIA		2:13 PMDec 29			3:05 PMDec 29	
foxbusiness	AA-1007-TPA-MIA		2:13 PMDec 29			3:05 PMDec 29	
allegiantair	AA-1007-TPA-MIA		2:13 PMDec 29			3:05 PMDec 29	
boston	AA-1007-TPA-MIA		2:13 PMDec 29			2:54 PMDec 29	
travelocity	AA-1007-TPA-MIA	Dec 29 - 1:55pm	Dec 29 - 1:59pm	F78	Dec 29 - 3:00pm	Dec 29 - 3:05pm	D30
orbitz	AA-1007-TPA-MIA	1:55pDec 29	1:59pDec 29	 F78	3:00pDec 29	3:05pDec 29	 D30
weather	AA-1007-TPA-MIA	2011-12-29 01:55 PM			2011-12-29 03:00 PM		
mia	AA-1007-TPA-MIA				3:00P 12-29-11	2011-12-29  3:05P	
usatoday	AA-1007-TPA-MIA		2:13 PMDec 29			2:54 PMDec 29	
aa	AA-1518-DFW-SDF	December 29, 2011               12:10 PM    	December 29, 2011               12:35 PM    	 D37	December 29, 2011               03:10 PM    	December 29, 2011               03:33 PM    	 A15    
flightexplorer	AA-1518-DFW-SDF		12/29/2011 12:51PM CST			12/29/2011 3:29PM EST	
airtravelcenter	AA-1518-DFW-SDF		12/29/11 12:50 PM (-06:00)			12/29/11 3:29 PM (-05:00)	
myrateplan	AA-1518-DFW-SDF		12/29/11 12:50 PM (-06:00)			12/29/11 3:29 PM (-05:00)	
helloflight	AA-1518-DFW-SDF		12/29/11 12:50 PM (-06:00)			12/29/11 3:29 PM (-05:00)	
flytecomm	AA-1518-DFW-SDF		12/29/11 12:50 PM (-06:00)			12/29/11 3:29 PM (-05:00)	
flightaware	AA-1518-DFW-SDF	2011-12-29 12:10PM CST	2011-12-29 12:51PM CST	 D37 	2011-12-29 03:00PM EST	2011-12-29 03:27PM EST	 A15 
wunderground	AA-1518-DFW-SDF	2011-12-29 12:10PM CST	2011-12-29 12:51PM CST	 D37 	2011-12-29 03:00PM EST	2011-12-29 03:27PM EST	 A15 
flights	AA-1518-DFW-SDF	12:10 PM  Thu 29-Dec-2011	12:35 PM  Thu 29-Dec-2011	D37	03:10 PM  Thu 29-Dec-2011	03:33 PM  Thu 29-Dec-2011	A15
businesstravellogue	AA-1518-DFW-SDF	12:10 PM  Thu 29-Dec-2011	12:35 PM  Thu 29-Dec-2011	D37	03:10 PM  Thu 29-Dec-2011	03:33 PM  Thu 29-Dec-2011	A15
flylouisville	AA-1518-DFW-SDF	12:10 PM  Thu 29-Dec-2011	12:35 PM  Thu 29-Dec-2011	D37	03:10 PM  Thu 29-Dec-2011	03:33 PM  Thu 29-Dec-2011	A15
flightstats	AA-1518-DFW-SDF	2011-12-29 12:10 PM	2011-12-29 12:35 PM		2011-12-29 3:10 PM	2011-12-29 3:33 PM	
quicktrip	AA-1518-DFW-SDF	2011-12-29 12:10 PM	2011-12-29 12:35 PM		2011-12-29 3:10 PM	2011-12-29 3:33 PM	
world-flight-tracker	AA-1518-DFW-SDF	2011-12-29 12:10 PM	2011-12-29 12:35 PM		2011-12-29 3:10 PM	2011-12-29 3:33 PM	
flightview	AA-1518-DFW-SDF	12:10 PM, Dec 29	12:51 PM, Dec 29		3:10 PM, Dec 29	3:27 PM, Dec 29	
panynj	AA-1518-DFW-SDF	12:10 PM, Dec 29	12:51 PM, Dec 29		3:10 PM, Dec 29	3:27 PM, Dec 29	
gofox	AA-1518-DFW-SDF	12:10 PM, Dec 29	12:51 PM, Dec 29		3:10 PM, Dec 29	3:27 PM, Dec 29	
foxbusiness	AA-1518-DFW-SDF	12:10 PM, Dec 29	12:51 PM, Dec 29		3:10 PM, Dec 29	3:27 PM, Dec 29	
allegiantair	AA-1518-DFW-SDF	12:10 PM, Dec 29	12:51 PM, Dec 29		3:10 PM, Dec 29	3:27 PM, Dec 29	
boston	AA-1518-DFW-SDF	12:10 PM, Dec 29	12:51 PM, Dec 29		3:10 PM, Dec 29	3:27 PM, Dec 29	
travelocity	AA-1518-DFW-SDF	Dec 29 - 12:10pm	Dec 29 - 12:35pm	D37/D	Dec 29 - 3:10pm	Dec 29 - 3:33pm	A15
orbitz	AA-1518-DFW-SDF	12:10pDec 29	12:35pDec 29	 D37	3:10pDec 29	3:33pDec 29	 A15
weather	AA-1518-DFW-SDF	2011-12-29 12:10 PM			2011-12-29 03:10 PM		
dfw	AA-1518-DFW-SDF	2011-12-29 12:10 pm		D37			
usatoday	AA-1518-DFW-SDF	2011-12-29 12:10 PM			2011-12-29 03:10 PM		
flightwise	AA-1518-DFW-SDF	2011-12-29 12:10PM CST	2011-12-29 12:51PM CST	 D37 	2011-12-29 03:00PM EST	2011-12-29 03:27PM EST	 A15 
flightarrival	AA-1518-DFW-SDF	2011-12-29 12:10 PM			2011-12-29 03:10 PM		
CO	CO-4284-EWR-SDF	Thu., Dec.29, 2011 4:00 p.m.	Thu., Dec.29, 2011 4:25 p.m.		Thu., Dec.29, 2011 6:23 p.m.	Thu., Dec.29, 2011 6:43 p.m.	
airtravelcenter	CO-4284-EWR-SDF	12/29/11 4:00 PM (-05:00)			12/29/11 6:23 PM (-05:00)		
myrateplan	CO-4284-EWR-SDF	12/29/11 4:00 PM (-05:00)			12/29/11 6:23 PM (-05:00)		
helloflight	CO-4284-EWR-SDF	12/29/11 4:00 PM (-05:00)			12/29/11 6:23 PM (-05:00)		
flytecomm	CO-4284-EWR-SDF	12/29/11 4:00 PM (-05:00)			12/29/11 6:23 PM (-05:00)		
flights	CO-4284-EWR-SDF		2011-12-29 04:25 PM	26		2011-12-29 06:43 PM	A11
businesstravellogue	CO-4284-EWR-SDF		2011-12-29 04:25 PM	26		2011-12-29 06:43 PM	A11
flylouisville	CO-4284-EWR-SDF		2011-12-29 04:25 PM	26		2011-12-29 06:43 PM	A11
flightstats	CO-4284-EWR-SDF	2011-12-29 4:00 PM	2011-12-29 4:25 PM		2011-12-29 6:23 PM	2011-12-29 6:43 PM	
quicktrip	CO-4284-EWR-SDF	2011-12-29 4:00 PM	2011-12-29 4:25 PM		2011-12-29 6:23 PM	2011-12-29 6:43 PM	
