aa	AA-1007-TPA-MIA	December 13, 2011               01:55 PM    	December 13, 2011               02:21 PM    	 F77	December 13, 2011               03:00 PM    	December 13, 2011               03:19 PM    	 D10    
flightexplorer	AA-1007-TPA-MIA		12/13/2011 2:35PM EST			12/13/2011 3:15PM EST	
airtravelcenter	AA-1007-TPA-MIA		12/13/11 2:35 PM (-05:00)			12/13/11 3:15 PM (-05:00)	
myrateplan	AA-1007-TPA-MIA		12/13/11 2:35 PM (-05:00)			12/13/11 3:15 PM (-05:00)	
helloflight	AA-1007-TPA-MIA		12/13/11 2:35 PM (-05:00)			12/13/11 3:15 PM (-05:00)	
flytecomm	AA-1007-TPA-MIA		12/13/11 2:35 PM (-05:00)			12/13/11 3:15 PM (-05:00)	
flights	AA-1007-TPA-MIA		2011-12-13 02:21 PM	F77		2011-12-13 03:19 PM	D10
businesstravellogue	AA-1007-TPA-MIA		2011-12-13 02:21 PM	F77		2011-12-13 03:19 PM	D10
flylouisville	AA-1007-TPA-MIA		2011-12-13 02:21 PM	F77		2011-12-13 03:19 PM	D10
flightview	AA-1007-TPA-MIA		2:35 PMDec 13			3:19 PMDec 13	
panynj	AA-1007-TPA-MIA		2:35 PMDec 13			3:19 PMDec 13	
gofox	AA-1007-TPA-MIA		2:35 PMDec 13			3:19 PMDec 13	
foxbusiness	AA-1007-TPA-MIA		2:35 PMDec 13			3:19 PMDec 13	
allegiantair	AA-1007-TPA-MIA		2:35 PMDec 13			3:19 PMDec 13	
boston	AA-1007-TPA-MIA		2:35 PMDec 13			3:13 PMDec 13	
travelocity	AA-1007-TPA-MIA	Dec 13 - 1:55pm	Dec 13 - 2:21pm	F77	Dec 13 - 3:00pm	Dec 13 - 3:19pm	D10
orbitz	AA-1007-TPA-MIA	1:55pDec 13	2:21pDec 13	 F77	3:00pDec 13	3:19pDec 13	 D10
weather	AA-1007-TPA-MIA	2011-12-13 01:55 PM			2011-12-13 03:00 PM		
mia	AA-1007-TPA-MIA				3:00P 12-13-11	2011-12-13  3:21P	
usatoday	AA-1007-TPA-MIA	2011-12-13 01:55 PM			2011-12-13 03:00 PM		
mytripandmore	AA-1007-TPA-MIA	Dec 13 - 1:55pm	Dec 13 - 2:21pm	F77	Dec 13 - 3:00pm	Dec 13 - 3:19pm	D10
flightarrival	AA-1007-TPA-MIA		2:35 PMDec 13			3:13 PMDec 13	
aa	AA-1518-DFW-SDF	December 13, 2011               12:10 PM    	December 13, 2011               12:11 PM    	 C28	December 13, 2011               03:10 PM    	December 13, 2011               02:56 PM    	 A15    
flightexplorer	AA-1518-DFW-SDF		12/13/2011 12:19PM CST			12/13/2011 2:52PM EST	
airtravelcenter	AA-1518-DFW-SDF		12/13/11 12:19 PM (-06:00)			12/13/11 2:52 PM (-05:00)	
myrateplan	AA-1518-DFW-SDF		12/13/11 12:19 PM (-06:00)			12/13/11 2:52 PM (-05:00)	
helloflight	AA-1518-DFW-SDF		12/13/11 12:19 PM (-06:00)			12/13/11 2:52 PM (-05:00)	
flytecomm	AA-1518-DFW-SDF		12/13/11 12:19 PM (-06:00)			12/13/11 2:52 PM (-05:00)	
flightaware	AA-1518-DFW-SDF	2011-12-13 12:10PM CST	2011-12-13 12:19PM CST	 C28 	2011-12-13 02:54PM EST	2011-12-13 02:49PM EST	 A15 
wunderground	AA-1518-DFW-SDF	2011-12-13 12:10PM CST	2011-12-13 12:19PM CST	 C28 	2011-12-13 02:54PM EST	2011-12-13 02:49PM EST	 A15 
flights	AA-1518-DFW-SDF	12:10 PM  Tue 13-Dec-2011	12:11 PM  Tue 13-Dec-2011	C28	03:10 PM  Tue 13-Dec-2011	02:56 PM  Tue 13-Dec-2011	A15
businesstravellogue	AA-1518-DFW-SDF	12:10 PM  Tue 13-Dec-2011	12:11 PM  Tue 13-Dec-2011	C28	03:10 PM  Tue 13-Dec-2011	02:56 PM  Tue 13-Dec-2011	A15
flylouisville	AA-1518-DFW-SDF	12:10 PM  Tue 13-Dec-2011	12:11 PM  Tue 13-Dec-2011	C28	03:10 PM  Tue 13-Dec-2011	02:56 PM  Tue 13-Dec-2011	A15
flightstats	AA-1518-DFW-SDF	2011-12-13 12:10 PM	2011-12-13 12:11 PM		2011-12-13 3:10 PM	2011-12-13 2:56 PM	
quicktrip	AA-1518-DFW-SDF	2011-12-13 12:10 PM	2011-12-13 12:11 PM		2011-12-13 3:10 PM	2011-12-13 2:56 PM	
world-flight-tracker	AA-1518-DFW-SDF	2011-12-13 12:10 PM	2011-12-13 12:11 PM		2011-12-13 3:10 PM	2011-12-13 2:56 PM	
flightview	AA-1518-DFW-SDF	12:10 PM, Dec 13	12:19 PM, Dec 13		3:10 PM, Dec 13	2:50 PM, Dec 13	
panynj	AA-1518-DFW-SDF	12:10 PM, Dec 13	12:19 PM, Dec 13		3:10 PM, Dec 13	2:50 PM, Dec 13	
gofox	AA-1518-DFW-SDF	12:10 PM, Dec 13	12:19 PM, Dec 13		3:10 PM, Dec 13	2:50 PM, Dec 13	
foxbusiness	AA-1518-DFW-SDF	12:10 PM, Dec 13	12:19 PM, Dec 13		3:10 PM, Dec 13	2:50 PM, Dec 13	
allegiantair	AA-1518-DFW-SDF	12:10 PM, Dec 13	12:19 PM, Dec 13		3:10 PM, Dec 13	2:50 PM, Dec 13	
boston	AA-1518-DFW-SDF	12:10 PM, Dec 13	12:19 PM, Dec 13		3:10 PM, Dec 13	2:50 PM, Dec 13	
travelocity	AA-1518-DFW-SDF	Dec 13 - 12:10pm	Dec 13 - 12:11pm	C28/C	Dec 13 - 3:10pm	Dec 13 - 2:56pm	A15
orbitz	AA-1518-DFW-SDF	12:10pDec 13	12:11pDec 13	 C28	3:10pDec 13	2:56pDec 13	 A15
weather	AA-1518-DFW-SDF	2011-12-13 12:10 PM			2011-12-13 03:10 PM		
dfw	AA-1518-DFW-SDF	2011-12-13 12:10 pm		C20			
ifly	AA-1518-DFW-SDF	2011-12-13 12:10 PM	2011-12-13 12:11 PM		2011-12-13 3:10 PM	2011-12-13 2:56 PM	
mytripandmore	AA-1518-DFW-SDF	Dec 13 - 12:10pm	Dec 13 - 12:11pm	C28/C	Dec 13 - 3:10pm	Dec 13 - 2:56pm	A15
