CO	CO-4237-EWR-DTW	Fri., Dec.30, 2011 12:17 p.m.	Fri., Dec.30, 2011 12:12 p.m.		Fri., Dec.30, 2011 2:24 p.m.	Fri., Dec.30, 2011 2:16 p.m.	
airtravelcenter	CO-4237-EWR-DTW	12/30/11 12:17 PM (-05:00)			12/30/11 2:24 PM (-05:00)		
myrateplan	CO-4237-EWR-DTW	12/30/11 12:17 PM (-05:00)			12/30/11 2:24 PM (-05:00)		
helloflight	CO-4237-EWR-DTW	12/30/11 12:17 PM (-05:00)			12/30/11 2:24 PM (-05:00)		
flytecomm	CO-4237-EWR-DTW	12/30/11 12:17 PM (-05:00)			12/30/11 2:24 PM (-05:00)		
flights	CO-4237-EWR-DTW		2011-12-30 12:12 PM	26		2011-12-30 02:16 PM	D2
businesstravellogue	CO-4237-EWR-DTW		2011-12-30 12:12 PM	26		2011-12-30 02:16 PM	D2
flylouisville	CO-4237-EWR-DTW		2011-12-30 12:12 PM	26		2011-12-30 02:16 PM	D2
flightstats	CO-4237-EWR-DTW	2011-12-30 12:17 PM	2011-12-30 12:12 PM		2011-12-30 2:24 PM	2011-12-30 2:16 PM	
quicktrip	CO-4237-EWR-DTW	2011-12-30 12:17 PM	2011-12-30 12:12 PM		2011-12-30 2:24 PM	2011-12-30 2:16 PM	
flightview	CO-4237-EWR-DTW		12:36 PMDec 30			2:16 PMDec 30	
panynj	CO-4237-EWR-DTW		12:36 PMDec 30			2:16 PMDec 30	
gofox	CO-4237-EWR-DTW		12:36 PMDec 30			2:16 PMDec 30	
foxbusiness	CO-4237-EWR-DTW		12:36 PMDec 30			2:16 PMDec 30	
allegiantair	CO-4237-EWR-DTW		12:36 PMDec 30			2:16 PMDec 30	
boston	CO-4237-EWR-DTW		12:36 PMDec 30			2:07 PMDec 30	
travelocity	CO-4237-EWR-DTW	Dec 30 - 12:17pm	Dec 30 - 12:12pm	A26X	Dec 30 - 2:24pm	Dec 30 - 2:16pm	D-2
orbitz	CO-4237-EWR-DTW	12:17pDec 30	12:12pDec 30	 -	2:24pDec 30	2:16pDec 30	 -
weather	CO-4237-EWR-DTW	2011-12-30 12:17 PM			2011-12-30 02:24 PM		
ifly	CO-4237-EWR-DTW	2011-12-30 12:17 PM	2011-12-30 12:12 PM		2011-12-30 2:24 PM	2011-12-30 2:16 PM	
usatoday	CO-4237-EWR-DTW	2011-12-30 12:17 PM	2011-12-30 12:12 PM		2011-12-30 2:24 PM	2011-12-30 2:16 PM	
mytripandmore	CO-4237-EWR-DTW	Dec 30 - 12:17pm	Dec 30 - 12:12pm	A26X	Dec 30 - 2:24pm	Dec 30 - 2:16pm	D-2
flightarrival	CO-4237-EWR-DTW		12:36 PMDec 30			2:07 PMDec 30	
aa	AA-1007-TPA-MIA	December 30, 2011               01:55 PM    	December 30, 2011               02:04 PM    	 F78	December 30, 2011               03:00 PM    	December 30, 2011               03:03 PM    	 D19    
flightexplorer	AA-1007-TPA-MIA		12/30/2011 2:18PM EST			12/30/2011 3:01PM EST	
airtravelcenter	AA-1007-TPA-MIA		12/30/11 2:18 PM (-05:00)			12/30/11 3:01 PM (-05:00)	
myrateplan	AA-1007-TPA-MIA		12/30/11 2:18 PM (-05:00)			12/30/11 3:01 PM (-05:00)	
helloflight	AA-1007-TPA-MIA		12/30/11 2:18 PM (-05:00)			12/30/11 3:01 PM (-05:00)	
flytecomm	AA-1007-TPA-MIA		12/30/11 2:18 PM (-05:00)			12/30/11 3:01 PM (-05:00)	
flights	AA-1007-TPA-MIA		2011-12-30 02:04 PM	F78		2011-12-30 03:03 PM	D19
businesstravellogue	AA-1007-TPA-MIA		2011-12-30 02:04 PM	F78		2011-12-30 03:03 PM	D19
flylouisville	AA-1007-TPA-MIA		2011-12-30 02:04 PM	F78		2011-12-30 03:03 PM	D19
flightview	AA-1007-TPA-MIA		2:18 PMDec 30			3:03 PMDec 30	
panynj	AA-1007-TPA-MIA		2:18 PMDec 30			3:03 PMDec 30	
gofox	AA-1007-TPA-MIA		2:18 PMDec 30			3:03 PMDec 30	
foxbusiness	AA-1007-TPA-MIA		2:18 PMDec 30			3:03 PMDec 30	
allegiantair	AA-1007-TPA-MIA		2:18 PMDec 30			3:03 PMDec 30	
boston	AA-1007-TPA-MIA		2:18 PMDec 30			2:59 PMDec 30	
travelocity	AA-1007-TPA-MIA	Dec 30 - 1:55pm	Dec 30 - 2:04pm	F78	Dec 30 - 3:00pm	Dec 30 - 3:03pm	D19
orbitz	AA-1007-TPA-MIA	1:55pDec 30	2:04pDec 30	 F78	3:00pDec 30	3:03pDec 30	 D19
weather	AA-1007-TPA-MIA	2011-12-30 01:55 PM			2011-12-30 03:00 PM		
mia	AA-1007-TPA-MIA				3:00P 12-30-11	2011-12-30  3:03P	
mytripandmore	AA-1007-TPA-MIA	1:55pDec 30	2:04pDec 30	 F78	3:00pDec 30	3:03pDec 30	 D19
flightarrival	AA-1007-TPA-MIA	2011-12-30 01:55 PM			2011-12-30 03:00 PM		
aa	AA-1518-DFW-SDF	December 30, 2011               12:10 PM    	December 30, 2011               12:05 PM    	 C7	December 30, 2011               03:10 PM    	December 30, 2011               03:10 PM    	 A15    
flightexplorer	AA-1518-DFW-SDF		12/30/2011 12:22PM CST			12/30/2011 2:53PM EST	
airtravelcenter	AA-1518-DFW-SDF		12/30/11 12:21 PM (-06:00)			12/30/11 2:53 PM (-05:00)	
myrateplan	AA-1518-DFW-SDF		12/30/11 12:21 PM (-06:00)			12/30/11 2:53 PM (-05:00)	
helloflight	AA-1518-DFW-SDF		12/30/11 12:21 PM (-06:00)			12/30/11 2:53 PM (-05:00)	
flytecomm	AA-1518-DFW-SDF		12/30/11 12:21 PM (-06:00)			12/30/11 2:53 PM (-05:00)	
flightaware	AA-1518-DFW-SDF	2011-12-30 12:10PM CST	2011-12-30 12:22PM CST	 C7 	2011-12-30 02:57PM EST	2011-12-30 03:02PM EST	 A15 
wunderground	AA-1518-DFW-SDF	2011-12-30 12:10PM CST	2011-12-30 12:22PM CST	 C7 	2011-12-30 02:57PM EST	2011-12-30 03:02PM EST	 A15 
flights	AA-1518-DFW-SDF	12:10 PM  Fri 30-Dec-2011	12:05 PM  Fri 30-Dec-2011	C7	03:10 PM  Fri 30-Dec-2011	03:10 PM  Fri 30-Dec-2011	A15
businesstravellogue	AA-1518-DFW-SDF	12:10 PM  Fri 30-Dec-2011	12:05 PM  Fri 30-Dec-2011	C7	03:10 PM  Fri 30-Dec-2011	03:10 PM  Fri 30-Dec-2011	A15
flylouisville	AA-1518-DFW-SDF	12:10 PM  Fri 30-Dec-2011	12:05 PM  Fri 30-Dec-2011	C7	03:10 PM  Fri 30-Dec-2011	03:10 PM  Fri 30-Dec-2011	A15
flightstats	AA-1518-DFW-SDF	2011-12-30 12:10 PM	2011-12-30 12:05 PM		2011-12-30 3:10 PM	2011-12-30 3:10 PM	
quicktrip	AA-1518-DFW-SDF	2011-12-30 12:10 PM	2011-12-30 12:05 PM		2011-12-30 3:10 PM	2011-12-30 3:10 PM	
world-flight-tracker	AA-1518-DFW-SDF	2011-12-30 12:10 PM	2011-12-30 12:05 PM		2011-12-30 3:10 PM	2011-12-30 3:10 PM	
flightview	AA-1518-DFW-SDF	12:10 PM, Dec 30	12:22 PM, Dec 30		3:10 PM, Dec 30	3:03 PM, Dec 30	
panynj	AA-1518-DFW-SDF	12:10 PM, Dec 30	12:22 PM, Dec 30		3:10 PM, Dec 30	3:03 PM, Dec 30	
gofox	AA-1518-DFW-SDF	12:10 PM, Dec 30	12:22 PM, Dec 30		3:10 PM, Dec 30	3:03 PM, Dec 30	
foxbusiness	AA-1518-DFW-SDF	12:10 PM, Dec 30	12:22 PM, Dec 30		3:10 PM, Dec 30	3:03 PM, Dec 30	
allegiantair	AA-1518-DFW-SDF	12:10 PM, Dec 30	12:22 PM, Dec 30		3:10 PM, Dec 30	3:03 PM, Dec 30	
boston	AA-1518-DFW-SDF	12:10 PM, Dec 30	12:22 PM, Dec 30		3:10 PM, Dec 30	3:03 PM, Dec 30	
travelocity	AA-1518-DFW-SDF	Dec 30 - 12:10pm	Dec 30 - 12:05pm	C7/C	Dec 30 - 3:10pm	Dec 30 - 3:10pm	A15
orbitz	AA-1518-DFW-SDF	12:10pDec 30	12:05pDec 30	 C7	3:10pDec 30	3:10pDec 30	 A15
weather	AA-1518-DFW-SDF	2011-12-30 12:10 PM			2011-12-30 03:10 PM		
usatoday	AA-1518-DFW-SDF	12:10 PM, Dec 30	12:22 PM, Dec 30		3:10 PM, Dec 30	3:03 PM, Dec 30	
flightwise	AA-1518-DFW-SDF	2011-12-30 12:10PM CST	2011-12-30 12:22PM CST	 C7 	2011-12-30 02:57PM EST	2011-12-30 03:02PM EST	 A15 
flightarrival	AA-1518-DFW-SDF	2011-12-30 12:10 PM	2011-12-30 12:05 PM		2011-12-30 3:10 PM	2011-12-30 3:10 PM	
CO	CO-4284-EWR-SDF	Fri., Dec.30, 2011 4:00 p.m.	Fri., Dec.30, 2011 3:58 p.m.		Fri., Dec.30, 2011 6:23 p.m.	Fri., Dec.30, 2011 6:11 p.m.	
airtravelcenter	CO-4284-EWR-SDF	12/30/11 4:00 PM (-05:00)			12/30/11 6:23 PM (-05:00)		
myrateplan	CO-4284-EWR-SDF	12/30/11 4:00 PM (-05:00)			12/30/11 6:23 PM (-05:00)		
helloflight	CO-4284-EWR-SDF	12/30/11 4:00 PM (-05:00)			12/30/11 6:23 PM (-05:00)		
flytecomm	CO-4284-EWR-SDF	12/30/11 4:00 PM (-05:00)			12/30/11 6:23 PM (-05:00)		
flights	CO-4284-EWR-SDF		2011-12-30 03:58 PM	26		2011-12-30 06:11 PM	A11
businesstravellogue	CO-4284-EWR-SDF		2011-12-30 03:58 PM	26		2011-12-30 06:11 PM	A11
flylouisville	CO-4284-EWR-SDF		2011-12-30 03:58 PM	26		2011-12-30 06:11 PM	A11
flightstats	CO-4284-EWR-SDF	2011-12-30 4:00 PM	2011-12-30 3:58 PM		2011-12-30 6:23 PM	2011-12-30 6:11 PM	
quicktrip	CO-4284-EWR-SDF	2011-12-30 4:00 PM	2011-12-30 3:58 PM		2011-12-30 6:23 PM	2011-12-30 6:11 PM	
flightview	CO-4284-EWR-SDF		4:14 PMDec 30			6:11 PMDec 30	
panynj	CO-4284-EWR-SDF		4:14 PMDec 30			6:11 PMDec 30	
gofox	CO-4284-EWR-SDF		4:14 PMDec 30			6:11 PMDec 30	
foxbusiness	CO-4284-EWR-SDF		4:14 PMDec 30			6:11 PMDec 30	
allegiantair	CO-4284-EWR-SDF		4:14 PMDec 30			6:11 PMDec 30	
boston	CO-4284-EWR-SDF		4:14 PMDec 30			6:06 PMDec 30	
orbitz	CO-4284-EWR-SDF	4:00pDec 30	3:58pDec 30	 -	6:23pDec 30	6:11pDec 30	 -
weather	CO-4284-EWR-SDF	2011-12-30 04:00 PM			2011-12-30 06:23 PM		
ifly	CO-4284-EWR-SDF	2011-12-30 4:00 PM	2011-12-30 3:58 PM		2011-12-30 6:23 PM	2011-12-30 6:11 PM	
usatoday	CO-4284-EWR-SDF		4:14 PMDec 30			6:06 PMDec 30	
mytripandmore	CO-4284-EWR-SDF	4:00pDec 30	3:58pDec 30	 -	6:23pDec 30	6:11pDec 30	 -
flightarrival	CO-4284-EWR-SDF	2011-12-30 4:00 PM	2011-12-30 3:58 PM		2011-12-30 6:23 PM	2011-12-30 6:11 PM	
ua	UA-2706-EWR-CLT	Fri, Dec 30 6:29 PM	Fri, Dec 30 6:29 PM	A38	Fri, Dec 30 8:33 PM	Fri, Dec 30 8:19 PM	C15
airtravelcenter	UA-2706-EWR-CLT		12/30/11 6:50 PM (-05:00)			12/30/11 8:18 PM (-05:00)	
myrateplan	UA-2706-EWR-CLT		12/30/11 6:50 PM (-05:00)			12/30/11 8:18 PM (-05:00)	
helloflight	UA-2706-EWR-CLT		12/30/11 6:50 PM (-05:00)			12/30/11 8:18 PM (-05:00)	
flytecomm	UA-2706-EWR-CLT		12/30/11 6:50 PM (-05:00)			12/30/11 8:18 PM (-05:00)	
flightaware	UA-2706-EWR-CLT	2011-12-30 06:29PM EST	2011-12-30 06:50PM EST		2011-12-30 08:06PM EST	2011-12-30 08:15PM EST	
wunderground	UA-2706-EWR-CLT	2011-12-30 06:29PM EST	2011-12-30 06:50PM EST		2011-12-30 08:06PM EST	2011-12-30 08:15PM EST	
flights	UA-2706-EWR-CLT	06:29 PM  Fri 30-Dec-2011	06:24 PM  Fri 30-Dec-2011	38	08:33 PM  Fri 30-Dec-2011	08:19 PM  Fri 30-Dec-2011	C15
businesstravellogue	UA-2706-EWR-CLT	06:29 PM  Fri 30-Dec-2011	06:24 PM  Fri 30-Dec-2011	38	08:33 PM  Fri 30-Dec-2011	08:19 PM  Fri 30-Dec-2011	C15
flylouisville	UA-2706-EWR-CLT	06:29 PM  Fri 30-Dec-2011	06:24 PM  Fri 30-Dec-2011	38	08:33 PM  Fri 30-Dec-2011	08:19 PM  Fri 30-Dec-2011	C15
flightstats	UA-2706-EWR-CLT	2011-12-30 6:29 PM	2011-12-30 6:24 PM		2011-12-30 8:33 PM	2011-12-30 8:19 PM	
quicktrip	UA-2706-EWR-CLT	2011-12-30 6:29 PM	2011-12-30 6:24 PM		2011-12-30 8:33 PM	2011-12-30 8:19 PM	
world-flight-tracker	UA-2706-EWR-CLT	2011-12-30 6:29 PM	2011-12-30 6:24 PM		2011-12-30 8:33 PM	2011-12-30 8:19 PM	
flightview	UA-2706-EWR-CLT	6:29 PM, Dec 30	6:50 PM, Dec 30		8:33 PM, Dec 30	8:20 PM, Dec 30	
panynj	UA-2706-EWR-CLT	6:29 PM, Dec 30	6:50 PM, Dec 30		8:33 PM, Dec 30	8:20 PM, Dec 30	
gofox	UA-2706-EWR-CLT	6:29 PM, Dec 30	6:50 PM, Dec 30		8:33 PM, Dec 30	8:20 PM, Dec 30	
foxbusiness	UA-2706-EWR-CLT	6:29 PM, Dec 30	6:50 PM, Dec 30		8:33 PM, Dec 30	8:20 PM, Dec 30	
allegiantair	UA-2706-EWR-CLT	6:29 PM, Dec 30	6:50 PM, Dec 30		8:33 PM, Dec 30	8:20 PM, Dec 30	
boston	UA-2706-EWR-CLT	6:29 PM, Dec 30	6:50 PM, Dec 30		8:33 PM, Dec 30	8:20 PM, Dec 30	
travelocity	UA-2706-EWR-CLT	Dec 30 - 6:29pm	Dec 30 - Contact Airline	Not provided by airline	Dec 30 - 8:33pm	Dec 30 - Contact Airline	Not provided by airline
orbitz	UA-2706-EWR-CLT	6:29pDec 30	6:24pDec 30	 -	8:33pDec 30	8:19pDec 30	 -
weather	UA-2706-EWR-CLT	2011-12-30 06:29 PM			2011-12-30 08:33 PM		
usatoday	UA-2706-EWR-CLT	6:29 PM, Dec 30	6:50 PM, Dec 30		8:33 PM, Dec 30	8:20 PM, Dec 30	
CO	CO-1240-IAH-SFO	Fri., Dec.30, 2011 4:10 p.m.	Fri., Dec.30, 2011 4:10 p.m.		Fri., Dec.30, 2011 6:38 p.m.	Fri., Dec.30, 2011 6:14 p.m.	
flightexplorer	CO-1240-IAH-SFO	12/30/2011 4:10PM CST			12/30/2011 6:38PM PST		
airtravelcenter	CO-1240-IAH-SFO	12/30/11 4:10 PM (-06:00)			12/30/11 6:38 PM (-08:00)		
myrateplan	CO-1240-IAH-SFO	12/30/11 4:10 PM (-06:00)			12/30/11 6:38 PM (-08:00)		
helloflight	CO-1240-IAH-SFO	12/30/11 4:10 PM (-06:00)			12/30/11 6:38 PM (-08:00)		
flytecomm	CO-1240-IAH-SFO	12/30/11 4:10 PM (-06:00)			12/30/11 6:38 PM (-08:00)		
flights	CO-1240-IAH-SFO	2011-12-30 04:10 PM		40	2011-12-30 06:38 PM		88
businesstravellogue	CO-1240-IAH-SFO	2011-12-30 04:10 PM		40	2011-12-30 06:38 PM		88
flylouisville	CO-1240-IAH-SFO	2011-12-30 04:10 PM		40	2011-12-30 06:38 PM		88
flightstats	CO-1240-IAH-SFO	2011-12-30 4:10 PM	2011-12-30 4:10 PM (Estimated)		2011-12-30 6:38 PM	2011-12-30 6:14 PM (Estimated)	
quicktrip	CO-1240-IAH-SFO	2011-12-30 4:10 PM	2011-12-30 4:10 PM (Estimated)		2011-12-30 6:38 PM	2011-12-30 6:14 PM (Estimated)	
flightview	CO-1240-IAH-SFO	4:10 PMDec 30			6:14 PMDec 30		
panynj	CO-1240-IAH-SFO	4:10 PMDec 30			6:14 PMDec 30		
gofox	CO-1240-IAH-SFO	4:10 PMDec 30			6:14 PMDec 30		
foxbusiness	CO-1240-IAH-SFO	4:10 PMDec 30			6:14 PMDec 30		
allegiantair	CO-1240-IAH-SFO	4:10 PMDec 30			6:14 PMDec 30		
boston	CO-1240-IAH-SFO	4:10 PMDec 30			6:38 PMDec 30		
orbitz	CO-1240-IAH-SFO	4:10pDec 30		 40	5:50pDec 30		 88
ifly	CO-1240-IAH-SFO	2011-12-30 4:10 PM	2011-12-30 4:10 PM (Estimated)		2011-12-30 6:38 PM	2011-12-30 6:14 PM (Estimated)	
flightarrival	CO-1240-IAH-SFO	2011-12-30 4:10 PM	2011-12-30 4:10 PM (Estimated)		2011-12-30 6:38 PM	2011-12-30 6:14 PM (Estimated)	
ua	UA-6344-ABQ-LAX	Fri, Dec 30 8:46 PM	Fri, Dec 30 8:40 PM	--	Fri, Dec 30 9:53 PM	Fri, Dec 30 9:32 PM	81
flightexplorer	UA-6344-ABQ-LAX	12/30/2011 8:56PM MST			12/30/2011 9:32PM PST		
airtravelcenter	UA-6344-ABQ-LAX	12/30/11 8:46 PM (-07:00)			12/30/11 9:53 PM (-08:00)		
myrateplan	UA-6344-ABQ-LAX	12/30/11 8:46 PM (-07:00)			12/30/11 9:53 PM (-08:00)		
helloflight	UA-6344-ABQ-LAX	12/30/11 8:46 PM (-07:00)			12/30/11 9:53 PM (-08:00)		
flytecomm	UA-6344-ABQ-LAX	12/30/11 8:46 PM (-07:00)			12/30/11 9:53 PM (-08:00)		
flightaware	UA-6344-ABQ-LAX	2011-12-30 08:46PM MST	2011-12-30 08:40PM MST		2011-12-30 09:28PM PST	2011-12-30 09:28PM PST	 81 
wunderground	UA-6344-ABQ-LAX	2011-12-30 08:46PM MST	2011-12-30 08:40PM MST		2011-12-30 09:28PM PST	2011-12-30 09:28PM PST	 81 
flights	UA-6344-ABQ-LAX		2011-12-30 08:40 PM			2011-12-30 09:53 PM	81
businesstravellogue	UA-6344-ABQ-LAX		2011-12-30 08:40 PM			2011-12-30 09:53 PM	81
flylouisville	UA-6344-ABQ-LAX		2011-12-30 08:40 PM			2011-12-30 09:53 PM	81
flightview	UA-6344-ABQ-LAX		8:40 PMDec 30			9:32 PMDec 30	
panynj	UA-6344-ABQ-LAX		8:40 PMDec 30			9:32 PMDec 30	
gofox	UA-6344-ABQ-LAX		8:40 PMDec 30			9:32 PMDec 30	
foxbusiness	UA-6344-ABQ-LAX		8:40 PMDec 30			9:32 PMDec 30	
allegiantair	UA-6344-ABQ-LAX		8:40 PMDec 30			9:32 PMDec 30	
boston	UA-6344-ABQ-LAX	8:46 PMDec 30			9:32 PMDec 30		
travelocity	UA-6344-ABQ-LAX	Dec 30 - Not Available	Dec 30 - 8:40pm	CHK	Dec 30 - Not Available	Dec 30 - 9:32pm*	81
orbitz	UA-6344-ABQ-LAX	8:46pDec 30	8:40pDec 30	 -	9:11pDec 30		 81
weather	UA-6344-ABQ-LAX	2011-12-30 08:46 PM			2011-12-30 09:53 PM		
usatoday	UA-6344-ABQ-LAX	2011-12-30 08:46 PM			2011-12-30 09:53 PM		
