CO	CO-4237-EWR-DTW	Mon., Dec.26, 2011 12:17 p.m.	Mon., Dec.26, 2011 12:12 p.m.		Mon., Dec.26, 2011 2:24 p.m.	Mon., Dec.26, 2011 2:03 p.m.	
airtravelcenter	CO-4237-EWR-DTW	12/26/11 12:17 PM (-05:00)			12/26/11 2:24 PM (-05:00)		
myrateplan	CO-4237-EWR-DTW	12/26/11 12:17 PM (-05:00)			12/26/11 2:24 PM (-05:00)		
helloflight	CO-4237-EWR-DTW	12/26/11 12:17 PM (-05:00)			12/26/11 2:24 PM (-05:00)		
flytecomm	CO-4237-EWR-DTW	12/26/11 12:17 PM (-05:00)			12/26/11 2:24 PM (-05:00)		
flightaware	CO-4237-EWR-DTW	2011-12-26 12:17PM EST	2011-12-26 12:17PM EST		2011-12-26 02:24PM EST	2011-12-26 02:24PM EST	
wunderground	CO-4237-EWR-DTW	2011-12-26 12:17PM EST	2011-12-26 12:17PM EST		2011-12-26 02:24PM EST	2011-12-26 02:24PM EST	
flights	CO-4237-EWR-DTW		2011-12-26 12:12 PM	26		2011-12-26 02:03 PM	D2
businesstravellogue	CO-4237-EWR-DTW		2011-12-26 12:12 PM	26		2011-12-26 02:03 PM	D2
flylouisville	CO-4237-EWR-DTW		2011-12-26 12:12 PM	26		2011-12-26 02:03 PM	D2
flightstats	CO-4237-EWR-DTW	2011-12-26 12:17 PM	2011-12-26 12:12 PM		2011-12-26 2:24 PM	2011-12-26 2:03 PM	
quicktrip	CO-4237-EWR-DTW	2011-12-26 12:17 PM	2011-12-26 12:12 PM		2011-12-26 2:24 PM	2011-12-26 2:03 PM	
flightview	CO-4237-EWR-DTW		12:25 PMDec 26			2:03 PMDec 26	
panynj	CO-4237-EWR-DTW		12:25 PMDec 26			2:03 PMDec 26	
gofox	CO-4237-EWR-DTW		12:25 PMDec 26			2:03 PMDec 26	
foxbusiness	CO-4237-EWR-DTW		12:25 PMDec 26			2:03 PMDec 26	
allegiantair	CO-4237-EWR-DTW		12:25 PMDec 26			2:03 PMDec 26	
boston	CO-4237-EWR-DTW		12:25 PMDec 26			1:58 PMDec 26	
orbitz	CO-4237-EWR-DTW	12:17pDec 26	12:12pDec 26	 -	2:24pDec 26	2:03pDec 26	 -
weather	CO-4237-EWR-DTW	2011-12-26 12:17 PM			2011-12-26 02:24 PM		
ifly	CO-4237-EWR-DTW	2011-12-26 12:17 PM	2011-12-26 12:12 PM		2011-12-26 2:24 PM	2011-12-26 2:03 PM	
flightwise	CO-4237-EWR-DTW	2011-12-26 12:17PM EST	2011-12-26 12:17PM EST		2011-12-26 02:24PM EST	2011-12-26 02:24PM EST	
aa	AA-1007-TPA-MIA	December 26, 2011               01:55 PM    	December 26, 2011               01:51 PM    	 F78	December 26, 2011               03:00 PM    	December 26, 2011               02:52 PM    	 D30    
flightexplorer	AA-1007-TPA-MIA		12/26/2011 2:00PM EST			12/26/2011 2:44PM EST	
airtravelcenter	AA-1007-TPA-MIA		12/26/11 1:59 PM (-05:00)			12/26/11 2:44 PM (-05:00)	
myrateplan	AA-1007-TPA-MIA		12/26/11 1:59 PM (-05:00)			12/26/11 2:44 PM (-05:00)	
helloflight	AA-1007-TPA-MIA		12/26/11 1:59 PM (-05:00)			12/26/11 2:44 PM (-05:00)	
flytecomm	AA-1007-TPA-MIA		12/26/11 1:59 PM (-05:00)			12/26/11 2:44 PM (-05:00)	
flights	AA-1007-TPA-MIA		2011-12-26 01:51 PM	F78		2011-12-26 02:52 PM	D30
businesstravellogue	AA-1007-TPA-MIA		2011-12-26 01:51 PM	F78		2011-12-26 02:52 PM	D30
flylouisville	AA-1007-TPA-MIA		2011-12-26 01:51 PM	F78		2011-12-26 02:52 PM	D30
flightview	AA-1007-TPA-MIA		2:00 PMDec 26			2:52 PMDec 26	
panynj	AA-1007-TPA-MIA		2:00 PMDec 26			2:52 PMDec 26	
gofox	AA-1007-TPA-MIA		2:00 PMDec 26			2:52 PMDec 26	
foxbusiness	AA-1007-TPA-MIA		2:00 PMDec 26			2:52 PMDec 26	
allegiantair	AA-1007-TPA-MIA		2:00 PMDec 26			2:52 PMDec 26	
boston	AA-1007-TPA-MIA		2:00 PMDec 26			2:42 PMDec 26	
orbitz	AA-1007-TPA-MIA	1:55pDec 26	1:51pDec 26	 F78	3:00pDec 26	2:52pDec 26	 D30
weather	AA-1007-TPA-MIA	2011-12-26 01:55 PM			2011-12-26 03:00 PM		
mia	AA-1007-TPA-MIA				3:00P 12-26-11	2011-12-26  2:52P	
usatoday	AA-1007-TPA-MIA		2:00 PMDec 26			2:42 PMDec 26	
flightarrival	AA-1007-TPA-MIA	2011-12-26 01:55 PM			2011-12-26 03:00 PM		
aa	AA-1518-DFW-SDF	December 26, 2011               12:10 PM    	December 26, 2011               12:14 PM    	 D22	December 26, 2011               03:10 PM    	December 26, 2011               03:14 PM    	 A15    
flightexplorer	AA-1518-DFW-SDF		12/26/2011 12:29PM CST			12/26/2011 3:09PM EST	
airtravelcenter	AA-1518-DFW-SDF		12/26/11 12:29 PM (-06:00)			12/26/11 3:09 PM (-05:00)	
myrateplan	AA-1518-DFW-SDF		12/26/11 12:29 PM (-06:00)			12/26/11 3:09 PM (-05:00)	
helloflight	AA-1518-DFW-SDF		12/26/11 12:29 PM (-06:00)			12/26/11 3:09 PM (-05:00)	
flytecomm	AA-1518-DFW-SDF		12/26/11 12:29 PM (-06:00)			12/26/11 3:09 PM (-05:00)	
flightaware	AA-1518-DFW-SDF	2011-12-26 12:10PM CST	2011-12-26 12:29PM CST	 D22 	2011-12-26 03:01PM EST	2011-12-26 03:05PM EST	 A15 
