Flight_Num,Scheduled_Dept,Actual_Dept,Scheduled_Arrival,Actual_Arrival,source
2011-12-01-AA-1221-MCO-ORD,8:00,8:23,9:45,9:53
2011-12-01-AA-4307-ORD-DTW,6:45,6:55,9:10,8:53
2011-12-01-AA-616-DFW-DTW,9:05,10:10,12:35,1:27
2011-12-01-AA-431-MIA-SFO,8:35,8:51,11:50,11:44
2011-12-01-AA-3756-ORD-SLC,12:15,12:41,2:45,2:50
2011-12-01-AA-2050-ORD-MIA,10:40,11:05,2:45,2:46
2011-12-01-AA-3804-PHL-ORD,2:35,2:44,4:05,3:43
2011-12-01-AA-1664-MIA-ATL,10:15,10:18,12:10,11:56
2011-12-01-AA-789-ORD-DEN,1:05,1:19,2:35,3:13
2011-12-01-AA-1733-ORD-PHX,7:45,7:58,10:30,
2011-12-01-AA-1733-ORD-PHX,7:45,7:58,10:30,
2011-12-01-AA-4277-CVG-JFK,12:10,12:10,2:15,1:43
2011-12-01-AA-2312-DFW-DTW,8:25,,11:50,
2011-12-01-AA-85-JFK-SFO,3:05,3:36,6:30,6:43
2011-12-01-AA-404-MIA-MCO,6:45,6:57,7:45,7:40
2011-12-01-AA-446-DFW-PHL,11:50,12:12,3:50,4:09
2011-12-01-AA-2268-PHX-ORD,7:15,7:22,11:35,11:06
2011-12-01-AA-4344-ORD-DTW,11:45,12:13,2:00,2:10
2011-12-01-AA-484-DFW-MIA,4:15,4:29,7:55,7:39
2011-12-01-AA-3979-CVG-ORD,7:30,8:04,8:00,8:06
2011-12-01-AA-3063-SLC-LAX,8:20,8:39,9:20,
2011-12-01-AA-3859-IAH-ORD,7:10,7:16,9:40,9:32
2011-12-01-AA-3842-MSP-ORD,6:00,6:56,7:30,7:51
2011-12-01-AA-1544-SAN-ORD,11:25,11:40,5:25,4:56
2011-12-01-AA-649-ORD-SNA,1:30,,3:50,
2011-12-01-AA-1640-MIA-MCO,6:30,,7:25,
2011-12-01-AA-518-MIA-JFK,6:40,6:54,9:25,9:28
2011-12-01-AA-2525-DFW-MIA,7:25,7:39,11:10,11:06
2011-12-01-AA-1279-DFW-PHX,1:00,2:04,2:35,3:30
2011-12-01-AA-1522-SFO-ORD,11:55,,5:50,
2011-12-01-AA-1434-DFW-MCO,7:15,7:21,10:35,10:36
2011-12-01-AA-59-JFK-SFO,7:10,7:39,10:45,11:12
2011-12-01-AA-415-BOS-ORD,8:35,8:56,10:40,10:16
2011-12-01-AA-222-LAX-BOS,7:10,7:31,3:30,3:14
2011-12-01-AA-3823-LAX-DEN,9:00,,12:15,
2011-12-01-AA-1165-JFK-MIA,6:59,7:22,10:34,10:04
2011-12-01-AA-3786-IAH-ORD,4:00,4:12,6:40,6:15
2011-12-01-AA-4330-CVG-ORD,3:35,3:36,4:00,3:33
2011-12-01-AA-3468-CVG-MIA,7:00,7:25,9:55,9:45
2011-12-01-AA-204-LAX-MCO,11:25,,6:55,
2011-12-01-AA-466-IAH-MIA,6:00,6:08,9:20,9:05
2011-12-01-AA-3-JFK-LAX,12:00,12:11,3:15,3:16
2011-12-01-AA-1007-MIA-PHX,4:55,5:08,8:05,7:55
2011-12-01-AA-271-MIA-LAX,11:35,11:52,2:25,2:27
2011-12-01-AA-643-MIA-ORD,7:10,7:30,9:35,9:31
2011-12-01-AA-4198-ORD-CLE,10:40,10:54,12:55,12:50
2011-12-01-AA-400-DFW-JFK,10:40,11:01,2:59,3:04
2011-12-01-AA-1886-BOS-MIA,10:45,10:55,2:20,1:40
